name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
Pervis Estupiñán,1261,,,66.7,54.0,,0.0,2.14,1.29,,5.43,1,60.72
Milo Veljkovi?,1251,,,50.9,40.8,,0.07,1.51,0.86,,4.53,1,46.19
Reiss Nelson,20,,,55.0,50.0,,0.0,5.0,0.0,,10.0,1,60.0
Fernand Mayembo,541,,,41.3,36.0,,0.0,0.67,0.33,,6.0,1,42.33
Yerry Mina,846,,,37.6,30.7,,0.11,1.81,1.28,,9.04,1,41.02
Álvaro Bastida,197,,,24.1,19.1,,0.0,2.27,0.91,,5.91,0,25.92
Exequiel Palacios,1097,,,66.0,57.0,,0.33,2.95,2.13,,12.5,1,71.63
Amath,884,,,21.5,16.9,,0.41,2.65,1.33,,4.8,0,23.03
Andreas Skov Olsen,747,,,47.3,36.3,,0.24,1.45,0.84,,6.27,1,43.41
Hugo Mallo,1203,,,54.6,42.0,,0.3,2.09,0.97,,4.4,1,47.37
Sébastien Corchia,525,,,45.9,30.3,,0.17,2.07,0.86,,5.69,0,36.85
Eddie Salcedo,429,,,31.3,21.7,,0.83,0.21,0.0,,6.46,0,28.16
Carlos Vinícius,435,,,16.0,9.17,,0.83,0.42,0.0,,1.88,0,11.05
Francesco Acerbi,2536,,,71.1,64.3,,0.25,0.96,0.43,,10.7,1,75.43
Philipp Klement,338,,,71.6,56.3,,0.53,1.84,1.84,,10.3,1,68.44
Waniss Taibi,173,,,71.1,63.2,,0.0,3.68,2.11,,7.37,1,72.68
Federico Dimarco,1430,,,76.2,62.6,,1.07,1.38,0.75,,8.49,1,71.84
Arthur Theate,1972,,,73.2,65.9,,0.23,1.0,0.64,,4.93,1,71.47
Naby Keïta,1173,,,58.4,50.1,,0.54,3.62,2.15,,9.85,1,62.1
Lucas Höler,382,,,33.1,20.7,,0.95,0.48,0.24,,5.71,0,26.65
Chris Führich,1714,,,36.7,29.2,,0.63,1.74,1.21,,6.68,0,37.09
Jeffrey Gouweleeuw,2576,,,41.3,30.3,,0.14,2.03,1.4,,10.7,1,42.4
Sepp van den Berg,322,,,42.2,35.3,,0.0,0.56,0.28,,4.44,1,40.02
Benjamin André,2752,,,57.8,46.7,,0.16,3.76,2.55,,11.5,1,60.75
Donyell Malen,821,,,31.5,23.0,,1.32,0.55,0.22,,2.97,0,26.19
Maximilian Wöber,295,,,63.9,46.4,,0.0,1.52,1.52,,6.36,1,54.28
David Raum,2757,,,65.0,48.2,,0.26,2.09,1.18,,8.01,1,57.39
Grant Hanley,2897,,,38.6,32.7,,0.12,1.71,1.18,,7.83,1,41.71
Daan Heymans,256,,,34.6,28.2,,0.36,1.43,1.43,,6.07,0,35.7
Philipp Förster,967,,,40.1,34.9,,0.65,2.24,1.12,,7.38,1,43.4
Julien Laporte,2891,,,44.3,38.1,,0.09,2.21,1.5,,8.22,1,47.82
Marcus Forss,209,,,17.8,10.4,,0.0,1.74,0.87,,4.78,0,16.05
Carles Aleñá,2320,,,33.3,26.7,,0.54,1.32,0.85,,6.16,0,33.71
Simon Zoller,596,,,23.8,18.2,,1.06,0.45,0.3,,6.21,0,24.71
Cédric Hountondji,1967,,,41.9,36.2,,0.14,1.19,0.82,,4.66,1,41.68
Houssem Aouar,2504,,,52.5,45.8,,0.9,1.91,1.19,,7.41,1,54.4
Vitaly Janelt,1419,,,40.3,31.8,,0.25,2.72,1.33,,7.03,1,40.16
Felipe Anderson,2888,,,44.4,34.5,,0.5,2.55,1.56,,5.95,1,42.01
Nianzou Kouassi,582,,,81.1,74.9,,0.15,1.69,0.92,,9.69,1,85.51
Diego Costa,644,,,12.8,9.31,,0.97,0.28,0.0,,1.67,0,10.98
Romain Perraud,1179,,,41.8,28.9,,0.31,2.21,1.37,,3.82,0,34.09
Myron Boadu,58,,,10.0,3.33,,1.67,0.0,0.0,,0.0,0,3.33
Tyrick Mitchell,3101,,,55.0,40.1,,0.03,3.13,1.57,,9.16,1,50.83
Jonjoe Kenny,1018,,,41.9,31.2,,0.0,1.68,1.06,,8.23,1,40.49
Mattia Viti,1491,,,41.2,34.5,,0.0,2.17,1.45,,8.07,1,44.02
Alexander Nübel,3420,,,29.6,22.1,,0.0,0.0,0.0,,4.76,0,26.86
Andrea Ranocchia,341,,,48.9,46.6,,0.26,2.11,1.58,,5.79,1,53.97
Florian Lejeune,1488,,,48.5,38.5,,0.67,1.09,0.61,,4.42,1,43.53
Marcelo,442,,,95.5,78.6,,0.61,1.63,0.82,,7.55,1,86.97
Marcos Alonso,620,,,80.7,73.6,,0.14,1.16,0.72,,5.22,1,79.54
Issa Kaboré,2254,,,40.3,29.5,,0.08,2.12,1.2,,6.16,0,36.86
Hugo Siquet,17,,,35.0,25.0,,0.0,10.0,10.0,,0.0,0,35.0
Silvan Hefti,1288,,,38.9,28.5,,0.07,4.2,2.52,,9.79,1,40.81
Wout Faes,1440,,,68.4,59.1,,0.06,2.13,1.19,,5.63,1,65.92
M'Baye Niang,777,,,20.5,13.4,,1.16,1.05,0.81,,3.26,0,17.47
Nedim Bajrami,941,,,33.1,24.8,,0.67,0.76,0.38,,4.67,0,29.85
Jude Bellingham,2790,,,49.5,41.9,,0.39,2.1,1.29,,7.87,1,51.06
Niklas Stark,2031,,,44.5,37.3,,0.18,1.86,1.15,,10.5,1,48.95
Cheikh Faye,37,,,22.5,12.5,,0.0,0.0,0.0,,2.5,0,15.0
Silas Katompa,1195,,,18.4,13.7,,0.75,1.28,0.9,,3.23,0,17.83
Troy Deeney,25,,,20.0,10.0,,0.0,0.0,0.0,,0.0,0,10.0
Deyovaisio Zeefuik,565,,,41.0,31.4,,0.0,1.9,1.11,,8.25,1,40.76
Gavi,1268,,,47.0,40.5,,0.21,1.84,1.28,,4.4,1,46.18
Manuel Lanzini,1786,,,61.5,55.7,,0.2,1.26,0.91,,9.44,1,66.05
Andrea Conti,23,,,36.7,20.0,,0.0,0.0,0.0,,3.33,0,23.33
Omar Marmoush,1571,,,26.0,19.0,,0.74,1.66,1.03,,5.37,0,25.4
Miguel Juan Llambrich,70,,,61.3,45.0,,0.0,3.75,2.5,,8.75,1,56.25
Roland Sallai,475,,,26.4,18.5,,0.94,0.75,0.75,,4.91,0,24.16
Angeliño,2298,,,59.1,42.9,,0.27,1.37,0.71,,7.92,1,51.53
Alessandro Bastoni,1267,,,69.9,58.3,,0.21,1.77,0.85,,4.82,1,63.97
Omar Richards,438,,,73.3,64.5,,0.0,4.29,3.06,,8.16,1,75.72
Julian Baumgartlinger,278,,,41.9,33.9,,0.0,1.94,0.65,,5.16,1,39.71
Jan Jakob Olschowsky,180,,,45.5,35.0,,0.0,0.0,0.0,,3.5,0,38.5
Sergio Asenjo,540,,,37.0,30.5,,0.0,0.0,0.0,,5.5,0,36.0
Adam Forshaw,159,,,36.1,30.0,,0.0,1.11,0.56,,5.56,0,36.12
Declan Rice,1980,,,60.2,52.8,,0.18,2.32,0.95,,9.41,1,63.16
Jacob Bruun Larsen,812,,,33.0,24.7,,0.78,0.33,0.11,,4.56,0,29.37
David Torres,101,,,70.9,53.6,,0.0,0.91,0.91,,4.55,1,59.06
Dele Alli,657,,,29.3,22.9,,0.27,2.6,0.96,,6.3,0,30.16
Birger Meling,1829,,,55.7,48.1,,0.05,2.51,1.43,,6.21,1,55.74
Anthony Modeste,750,,,13.4,7.71,,1.08,0.48,0.48,,1.81,0,10.0
Matthew Lowton,1772,,,44.2,30.4,,0.1,2.28,1.32,,9.24,1,40.96
Timothy Chandler,79,,,58.9,34.4,,0.0,2.22,2.22,,5.56,1,42.18
Diego López,3177,,,32.4,23.7,,0.0,0.0,0.0,,5.35,0,29.05
Dani Carvajal,1551,,,70.1,60.5,,0.12,2.03,1.28,,7.97,1,69.75
Jorginho,32,,,75.0,60.0,,0.0,2.5,2.5,,7.5,1,70.0
Danny Ings,53,,,18.3,10.0,,0.0,3.33,1.67,,8.33,0,20.0
Youssouf M'Changama,618,,,46.2,38.1,,0.14,2.03,0.87,,5.36,1,44.33
Ckene Doucouré,56,,,41.7,21.7,,0.0,3.33,3.33,,3.33,0,28.36
Thomas Delaine,709,,,49.0,32.7,,0.25,1.9,1.01,,4.18,0,37.89
Kristian Pedersen,267,,,53.7,38.3,,0.0,1.67,1.33,,6.0,1,45.63
Cala,947,,,28.4,20.8,,0.0,1.43,0.76,,8.29,0,29.85
Raphaël Guerreiro,1795,,,76.6,65.4,,0.5,2.26,1.51,,8.54,1,75.45
Maxim Leitsch,1538,,,47.1,39.8,,0.06,1.35,0.94,,10.7,1,51.44
Kingsley Ehizibue,681,,,48.7,33.6,,0.0,3.55,1.84,,10.0,1,45.44
Julian Kristoffersen,18,,,10.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0
Kevin Long,410,,,21.3,17.4,,0.0,1.3,1.09,,6.96,0,25.45
Joshua Zirkzee,464,,,26.5,20.2,,0.77,0.58,0.19,,1.92,0,22.31
Stefano Sabelli,348,,,38.7,24.6,,0.26,1.79,0.77,,5.64,0,31.01
Martin Terrier,2779,,,31.7,25.4,,1.39,1.68,1.13,,4.72,0,31.25
Sekou Mara,905,,,20.4,13.8,,1.58,0.99,0.79,,5.64,0,20.23
Timo Horn,1170,,,40.0,32.2,,0.0,0.0,0.0,,4.54,0,36.74
Baptiste Santamaria,21,,,20.0,10.0,,0.0,0.0,0.0,,5.0,0,15.0
Pol Lirola,548,,,46.9,33.8,,0.16,1.97,0.98,,6.56,1,41.34
Simone Verdi,46,,,34.0,18.0,,2.0,4.0,4.0,,12.0,0,34.0
Elseid Hysaj,803,,,62.9,51.5,,0.11,2.36,1.12,,7.19,1,59.81
Rodrigo,902,,,45.3,38.6,,0.3,0.8,0.7,,4.5,1,43.8
Sanjin Prci?,1367,,,56.7,47.6,,0.39,1.45,0.66,,8.29,1,56.55
Aitor Paredes,140,,,36.9,30.6,,1.25,1.25,0.63,,6.88,0,38.11
Moritz Broschinski,17,,,35.0,25.0,,10.0,0.0,0.0,,15.0,1,40.0
Kelvin Yeboah,117,,,23.8,11.5,,0.77,0.77,0.77,,5.38,0,17.65
Veljko Birman?evi?,268,,,30.3,20.3,,0.33,3.33,2.33,,4.67,0,27.3
Ilaix Moriba,32,,,50.0,42.5,,2.5,2.5,0.0,,5.0,1,47.5
Alexander Isak,152,,,17.6,10.0,,0.59,0.59,0.59,,1.18,0,11.77
Matteo Cancellieri,227,,,27.2,18.8,,0.4,2.0,1.6,,7.2,0,27.6
Aitor Fernández,1166,,,29.3,20.5,,0.0,0.08,0.08,,3.92,0,24.5
Paulo Otávio,362,,,50.3,36.5,,0.0,2.25,1.0,,6.0,1,43.5
Gerrit Holtmann,832,,,26.5,15.4,,1.41,1.3,0.65,,5.65,0,21.7
Noah Joel Sarenren Bazee,9,,,10.0,10.0,,0.0,0.0,0.0,,10.0,0,20.0
Naïs Djouahra,219,,,40.8,29.2,,0.83,1.67,0.83,,8.33,0,38.36
Grejohn Kyei,1078,,,19.5,12.9,,0.83,0.5,0.17,,1.92,0,14.99
Raoul Bellanova,159,,,63.9,47.8,,0.0,2.78,1.11,,3.89,1,52.8
Tarsis Bonga,17,,,40.0,20.0,,5.0,0.0,0.0,,5.0,0,25.0
Konstantinos Mavropanos,1418,,,57.6,47.3,,0.51,2.34,1.27,,7.09,1,55.66
Iyenoma Udogie,2477,,,33.1,26.6,,0.47,2.73,1.82,,7.89,0,36.31
Brandon Soppy,777,,,27.1,19.3,,0.23,2.79,1.74,,7.56,0,28.6
Neeskens Kebano,713,,,23.8,17.6,,0.25,1.52,0.63,,5.44,0,23.67
Gaëtan Laborde,341,,,25.5,16.1,,1.32,0.79,0.26,,5.0,0,21.36
Alessandro Buongiorno,1412,,,45.7,37.6,,0.0,1.34,0.76,,5.73,1,44.09
Lauren Ulrich,6,,,50.0,40.0,,0.0,10.0,10.0,,0.0,1,50.0
Ciprian T?t?ru?anu,1350,,,34.9,27.3,,0.0,0.0,0.0,,1.33,0,28.63
Cristhian Stuani,652,,,13.1,9.72,,1.53,0.69,0.28,,2.08,0,12.08
Kevin Agudelo,1443,,,27.8,19.6,,0.31,2.94,1.38,,5.69,0,26.67
Anthony Lopes,1646,,,29.3,23.1,,0.0,0.05,0.0,,0.98,0,24.08
Pavel Kade?ábek,800,,,52.4,37.2,,0.11,1.35,0.9,,5.06,1,43.16
Riccardo Fiamozzi,620,,,56.2,42.3,,0.0,1.16,0.87,,10.4,1,53.57
Pablo Muñoz,12,,,20.0,20.0,,0.0,0.0,0.0,,0.0,0,20.0
Sebastian Griesbeck,2439,,,32.4,25.7,,0.07,2.55,1.33,,8.97,0,36.0
Achraf Dari,901,,,49.1,40.2,,0.2,1.2,0.9,,5.1,1,46.2
Largie Ramazani,1039,,,20.5,13.9,,1.22,0.87,0.61,,4.0,0,18.51
Juanpe,705,,,57.6,49.4,,0.0,0.9,0.51,,3.33,1,53.24
Alejandro Garnacho,328,,,31.1,24.4,,1.39,0.83,0.28,,3.89,0,28.57
Franck Ribéry,37,,,55.0,47.5,,0.0,0.0,0.0,,5.0,1,52.5
Cameron Archer,49,,,24.0,16.0,,0.0,0.0,0.0,,4.0,0,20.0
Carlos Álvarez,10,,,0.0,0.0,,0.0,0.0,10.0,,0.0,0,10.0
Gonzalo Escalante,555,,,46.8,35.8,,0.16,2.58,1.29,,6.29,1,43.38
Lennart Grill,360,,,43.3,30.3,,0.0,0.0,0.0,,1.0,0,31.3
Raúl Moro,201,,,39.5,34.1,,0.45,0.91,0.0,,5.91,1,40.01
Bouna Sarr,64,,,62.9,42.9,,0.0,5.71,2.86,,12.9,1,58.66
Leonardo Mancuso,425,,,16.8,11.3,,1.06,0.21,0.0,,2.98,0,14.28
Axel Camblan,68,,,33.8,23.8,,1.25,2.5,2.5,,6.25,0,32.55
Antonio Barragán,1020,,,47.5,37.8,,0.0,2.39,0.88,,5.75,1,44.43
Jürgen Locadia,444,,,25.1,19.8,,1.43,1.02,1.02,,4.29,0,25.11
Daniel Vivian,1265,,,50.4,40.9,,0.14,2.06,1.21,,7.94,1,50.05
Maranhão,973,,,17.9,11.2,,0.74,1.39,0.65,,5.0,0,16.85
Sebastian Polter,2341,,,19.9,11.3,,0.81,0.35,0.31,,2.96,0,14.57
Layvin Kurzawa,135,,,27.3,18.7,,0.0,2.0,1.33,,3.33,0,23.36
Grejohn Kyei,396,,,21.1,15.9,,0.68,0.45,0.23,,2.05,0,18.18
Ardian Ismajli,1295,,,42.9,35.9,,0.14,1.88,1.46,,4.17,1,41.53
Arkadiusz Milik,1416,,,24.4,19.7,,1.21,0.64,0.32,,2.93,0,22.95
Mike van der Hoorn,14,,,20.0,15.0,,0.0,10.0,10.0,,0.0,0,25.0
Myziane Maolida,95,,,13.6,7.27,,0.0,0.91,0.91,,2.73,0,10.91
Yann Sommer,2970,,,44.2,33.4,,0.0,0.0,0.0,,5.48,0,38.88
Kevin Vogt,2569,,,75.6,66.9,,0.0,0.98,0.6,,12.0,1,79.5
Laurent Abergel,1165,,,43.4,37.9,,0.0,3.8,2.02,,6.51,1,46.43
Stefano Sensi,754,,,45.8,37.7,,0.48,2.5,1.55,,8.69,1,47.94
Duje ?aleta-Car,8,,,20.0,20.0,,0.0,0.0,0.0,,0.0,0,20.0
Jubal,1777,,,38.5,32.1,,0.05,1.07,0.56,,4.62,0,37.28
Lenny Joseph,153,,,15.3,10.0,,0.0,1.76,1.18,,2.94,0,14.12
András Schäfer,239,,,33.0,25.2,,1.11,2.59,2.59,,7.41,0,35.2
Salva Sevilla,1507,,,59.2,47.8,,0.24,1.14,0.84,,10.4,1,59.04
Adama Traoré,382,,,41.0,29.3,,0.71,0.71,0.0,,6.67,0,35.97
Nico Ribaudo,1116,,,35.0,29.6,,0.32,1.61,1.21,,5.65,0,36.46
Rayan Aït Nouri,1828,,,49.4,37.1,,0.2,3.74,2.12,,6.65,1,45.87
Tommaso Milanese,27,,,46.7,33.3,,0.0,0.0,0.0,,0.0,0,33.3
Ellyes Skhiri,1820,,,46.3,39.3,,0.4,2.82,1.83,,12.3,1,53.43
Miguel Baeza,2,,,5.0,4.0,,0.0,0.0,0.0,,0.0,0,4.0
Luís Maximiano,3046,,,34.7,19.1,,0.0,0.06,0.0,,5.8,0,24.9
Sheraldo Becker,1758,,,31.3,19.7,,0.92,0.77,0.46,,7.03,0,27.19
Ansgar Knauff,851,,,44.9,28.6,,0.53,2.11,1.37,,6.53,0,36.5
Manuel De Luca,33,,,17.5,12.5,,0.0,0.0,0.0,,0.0,0,12.5
Eric García,2039,,,73.4,68.3,,0.18,1.28,0.7,,7.0,1,76.0
Ivan Toney,2909,,,24.1,14.2,,0.74,0.96,0.62,,4.49,0,19.31
Kenny Lala,373,,,45.6,33.4,,0.24,2.93,0.98,,6.34,1,40.72
Josep Antoni Gayá,58,,,41.7,33.3,,0.0,0.0,0.0,,6.67,1,39.97
Djeidi Gassama,2,,,2.0,2.0,,0.0,0.0,0.0,,0.0,0,2.0
Atakan Karazor,930,,,53.3,45.9,,0.0,3.4,1.84,,8.45,1,56.19
Marcus Ingvartsen,122,,,23.6,17.9,,0.71,0.71,0.0,,2.86,0,20.76
Daichi Kamada,2139,,,36.3,28.6,,0.29,1.51,1.09,,7.27,0,36.96
Noah Weißhaupt,131,,,21.3,11.3,,0.0,2.67,0.67,,5.33,0,17.3
Maxime Lopez,1120,,,61.5,53.6,,0.16,1.94,0.73,,7.02,1,61.35
Ondrej Duda,123,,,39.3,25.0,,0.0,2.86,1.43,,10.0,0,36.43
Nick Pope,1980,,,25.7,17.6,,0.0,0.05,0.0,,0.77,0,18.37
Christopher Trimmel,1199,,,48.0,29.1,,0.08,1.8,1.05,,5.34,0,35.49
Tommaso Pobega,2240,,,47.1,38.0,,0.32,2.13,1.33,,10.2,1,49.53
Akim Zedadka,354,,,56.9,47.4,,0.26,0.26,0.26,,6.15,1,53.81
Béni Makouana,198,,,17.3,6.82,,0.45,0.45,0.0,,4.55,0,11.37
Stuart Dallas,2919,,,51.4,40.5,,0.25,2.78,1.42,,8.83,1,50.75
Ronaël Pierre-Gabriel,653,,,49.9,39.3,,0.27,3.42,2.47,,5.62,1,47.39
Delano Burgzorg,211,,,18.3,13.5,,0.87,1.3,1.3,,1.74,0,16.54
Martín,115,,,37.7,28.5,,0.0,0.77,0.77,,18.5,1,47.77
Brais Méndez,3021,,,45.2,35.8,,0.48,2.05,1.13,,7.71,1,44.64
Ruben Aguilar,2140,,,72.1,60.4,,0.08,3.82,2.14,,9.92,1,72.46
Danny Rose,689,,,43.0,28.7,,0.13,2.99,1.95,,6.62,0,37.27
Leon Goretzka,1396,,,57.5,47.9,,0.77,1.68,1.23,,10.6,1,59.73
Antoine Mendy,170,,,63.2,52.6,,1.05,3.68,2.63,,7.89,1,63.12
Sam Lammers,517,,,23.7,15.6,,0.7,1.23,0.53,,3.51,0,19.64
Leonardo Balerdi,1765,,,55.6,47.4,,0.0,1.63,1.07,,6.38,1,54.85
Nicola Ravaglia,5,,,40.0,20.0,,0.0,0.0,0.0,,0.0,0,20.0
Monchu,997,,,47.9,37.2,,0.27,2.88,1.44,,4.86,1,43.5
José Fontán,276,,,65.8,55.5,,0.0,2.9,1.29,,7.42,1,64.21
Ivan Rakiti?,945,,,66.3,54.2,,0.57,2.29,1.43,,6.0,1,61.63
Aridane Hernández,504,,,46.8,40.5,,0.0,0.89,0.36,,5.0,1,45.86
Yacine Adli,116,,,46.2,29.2,,1.54,4.62,2.31,,3.85,0,35.36
Williot Swedberg,34,,,30.0,27.5,,0.0,2.5,0.0,,0.0,0,27.5
Iker Benito,118,,,22.3,16.9,,0.77,0.77,0.77,,7.69,0,25.36
Joelinton,2558,,,33.1,26.2,,0.49,2.54,1.55,,8.49,0,36.24
Tiago Djaló,2329,,,58.5,51.4,,0.19,2.55,1.51,,8.53,1,61.44
Vladyslav Supriaha,22,,,20.0,15.0,,0.0,0.0,0.0,,0.0,0,15.0
Farid Boulaya,1526,,,43.4,28.8,,0.35,0.94,0.53,,6.82,0,36.15
Gerard Gumbau,1261,,,45.2,33.9,,0.21,1.71,1.0,,5.5,1,40.4
Alberto Soro,578,,,28.4,20.0,,0.63,2.34,1.88,,5.63,0,27.51
Mateusz Wieteska,2069,,,46.7,38.3,,0.17,1.22,0.7,,4.96,1,43.96
Miguel Veloso,1343,,,61.7,49.0,,0.27,1.68,0.87,,13.4,1,63.27
Saa Luki?,1,,,5.0,4.0,,0.0,0.0,0.0,,0.0,0,4.0
Lorenzo Montipò,1890,,,31.8,20.7,,0.0,0.0,0.0,,1.86,0,22.56
Anthony Jung,1546,,,50.6,39.3,,0.29,1.74,1.1,,5.7,1,46.1
Pape Matar Sarr,2129,,,43.0,35.7,,0.34,2.41,1.52,,9.62,1,46.84
Luca Waldschmidt,306,,,26.5,20.0,,0.29,1.47,0.59,,3.53,0,24.12
Diogo Leite,1458,,,55.7,43.9,,0.0,1.42,0.8,,5.86,1,50.56
Diego Demme,22,,,235.0,235.0,,0.0,0.0,0.0,,5.0,1,240.0
Jonathan Ikone,1062,,,35.7,28.1,,0.68,1.1,0.76,,5.93,0,34.79
Justin Che,41,,,54.0,46.0,,0.0,2.0,2.0,,2.0,1,50.0
Gustavo Scarpa,160,,,36.1,25.0,,0.56,2.22,0.56,,5.56,0,31.12
Roberto Torres,11,,,130.0,120.0,,0.0,0.0,0.0,,10.0,1,130.0
Erick Pulgar,341,,,62.1,55.0,,0.53,1.58,0.53,,9.21,1,64.74
Pasquale Mazzocchi,1243,,,42.0,32.2,,0.0,1.23,0.87,,6.3,0,39.37
Unai Núñez,1710,,,56.2,49.3,,0.05,1.26,0.84,,5.89,1,56.03
Jordan Henderson,2597,,,76.2,63.9,,0.21,1.28,0.83,,11.1,1,75.83
Renaud Ripart,1893,,,32.3,23.1,,0.62,2.0,1.14,,5.43,0,29.67
Nahuel Molina,2638,,,42.2,29.9,,0.55,1.54,0.89,,7.58,0,38.37
Samuel,1781,,,35.7,27.3,,1.06,1.82,1.21,,4.49,0,33.0
Mexer,1227,,,50.2,42.6,,0.07,1.25,0.96,,8.38,1,51.94
Craig Cathcart,2396,,,34.5,27.9,,0.0,1.24,0.56,,8.23,0,36.69
Kévin Gameiro,1394,,,35.2,27.7,,1.16,0.97,0.45,,3.94,0,32.09
Francesco Caputo,1094,,,19.4,13.8,,0.41,0.25,0.08,,1.48,0,15.36
Iván Villar,90,,,33.0,19.0,,0.0,0.0,0.0,,0.0,0,19.0
Nicolas Viola,102,,,56.4,39.1,,0.0,3.64,2.73,,15.5,1,57.33
Téji Savanier,2414,,,60.4,40.1,,1.27,2.2,1.46,,8.66,1,50.22
Peter Pekarík,2234,,,48.3,37.5,,0.12,2.26,0.97,,8.79,1,47.26
Edon Zhegrova,564,,,47.5,37.1,,1.27,2.06,1.43,,5.4,1,43.93
Iñigo Lekue,1155,,,57.0,44.1,,0.08,1.48,1.02,,8.28,1,53.4
Jorge Meré,490,,,55.6,48.1,,0.0,1.3,0.56,,11.3,1,59.96
Jaïro Riedewald,49,,,70.0,52.0,,0.0,4.0,2.0,,8.0,1,62.0
Ryan Sessegnon,813,,,43.3,31.1,,0.67,1.89,1.22,,5.44,0,37.76
Denis Cheryshev,563,,,26.8,17.1,,0.63,1.59,0.79,,8.25,0,26.14
Brahim Díaz,1036,,,34.2,26.9,,0.7,1.48,0.7,,5.3,0,32.9
Michael Olise,1141,,,50.4,36.5,,0.79,1.73,1.18,,7.95,1,45.63
Calvin Stengs,212,,,41.7,34.2,,0.42,0.83,0.83,,5.42,1,40.45
Asier Illarramendi,503,,,51.1,43.6,,0.54,3.21,1.43,,5.89,1,50.92
Jérémy Morel,604,,,44.2,37.8,,0.0,2.54,1.79,,8.96,1,48.55
Sebastian Andersson,1257,,,18.1,12.0,,0.93,0.93,0.64,,3.07,0,15.71
Youri Tielemans,1647,,,65.5,53.9,,0.38,2.51,1.48,,8.03,1,63.41
Rafael Ratão,1147,,,38.5,27.7,,0.71,2.68,2.13,,5.75,0,35.58
Joe Rothwell,157,,,41.2,35.3,,0.59,1.76,0.59,,2.94,0,38.83
Fabio Quagliarella,360,,,26.8,18.0,,1.25,0.25,0.25,,2.5,0,20.75
Pavao Pervan,540,,,33.3,25.2,,0.0,0.0,0.0,,4.33,0,29.53
Marc Cucurella,1345,,,71.8,59.9,,0.0,3.29,1.41,,6.51,1,67.82
Caio Henrique Oliveira Silva,2662,,,63.4,48.1,,0.2,1.66,0.81,,9.05,1,57.96
Mohamed Achi,10,,,50.0,30.0,,0.0,10.0,10.0,,10.0,1,50.0
Lukas Nmecha,834,,,19.9,13.2,,0.75,0.54,0.32,,1.61,0,15.13
Mama Samba Baldé,1717,,,22.7,15.6,,0.89,2.3,1.31,,4.82,0,21.73
Pablo Torre,14,,,20.0,10.0,,0.0,0.0,0.0,,0.0,0,10.0
Esteban Saveljich,1700,,,30.8,26.2,,0.16,1.06,0.63,,6.46,0,33.29
Nicolò Rovella,879,,,76.8,67.8,,0.1,2.14,1.53,,7.14,1,76.47
Sergio Santos,11,,,70.0,70.0,,0.0,0.0,0.0,,0.0,1,70.0
Rodrygo,1459,,,41.5,34.4,,0.93,1.23,0.93,,4.51,1,39.84
Francisco Garcia,3025,,,50.4,39.7,,0.24,1.7,0.98,,8.33,1,49.01
Julian Brandt,2078,,,57.6,45.2,,0.65,1.47,0.91,,7.71,1,53.82
Hugo Siquet,22,,,80.0,65.0,,0.0,0.0,0.0,,0.0,1,65.0
Carlos Dominguez,1,,,2.0,1.0,,0.0,0.0,0.0,,1.0,0,2.0
Ghjuvanni Quilichini,82,,,37.8,15.6,,0.0,0.0,0.0,,1.11,0,16.71
Youcef Belaïli,356,,,39.5,28.5,,0.25,1.25,0.5,,4.75,0,33.75
Albert Sambi Lokonga,54,,,70.0,58.3,,0.0,3.33,3.33,,11.7,1,73.33
Naouirou Ahamada,61,,,48.6,42.9,,0.0,0.0,0.0,,4.29,1,47.19
Kastriot Dermaku,34,,,5.0,2.5,,0.0,0.0,0.0,,0.0,0,2.5
Fernando,1850,,,60.6,54.4,,0.05,1.41,1.12,,10.3,1,65.82
Luigi Sepe,1392,,,36.5,24.8,,0.0,0.0,0.0,,4.71,0,29.51
Lago Junior,52,,,30.0,20.0,,1.67,1.67,0.0,,11.7,0,31.7
Christian Nørgaard,3054,,,48.7,38.9,,0.24,3.83,2.36,,12.9,1,54.16
Ibrahima Sissoko,486,,,40.9,31.3,,0.0,1.67,1.11,,7.96,1,40.37
Marko Rog,311,,,42.0,34.9,,0.29,1.43,0.29,,10.6,1,45.79
Karl Toko Ekambi,2296,,,37.1,29.5,,1.41,0.55,0.24,,5.96,0,35.7
Marco Modolo,392,,,34.8,28.4,,0.23,0.68,0.68,,6.59,0,35.67
Adrien Tameze,2574,,,45.4,36.3,,0.24,1.71,1.12,,11.6,1,49.02
Danny Welbeck,1478,,,17.3,13.8,,1.22,0.85,0.73,,3.11,0,17.64
Álvaro García,2998,,,31.1,19.4,,0.72,1.56,1.08,,6.58,0,27.06
Julian Chabot,490,,,45.4,37.4,,0.19,2.59,1.3,,10.0,1,48.7
Rominigue Kouamé,2968,,,48.0,42.2,,0.33,1.55,0.97,,9.21,1,52.38
Adam Masina,1077,,,45.0,31.7,,0.0,2.0,1.17,,7.75,1,40.62
Matija Nastasi?,563,,,27.5,22.1,,0.16,0.95,0.63,,2.06,0,24.79
Andrea Conti,13,,,50.0,40.0,,0.0,0.0,0.0,,20.0,1,60.0
Ayoze Pérez,41,,,28.0,20.0,,0.0,2.0,2.0,,4.0,0,26.0
Paulinho,1218,,,36.3,29.3,,1.11,1.78,1.19,,5.19,0,35.68
Anton Kade,77,,,34.4,23.3,,1.11,5.56,3.33,,8.89,0,35.52
