name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
Jaouen Hadjam,191,,,54.8,43.8,,0.0,3.33,1.9,,5.24,1,50.94
Przemys?aw Frankowski,2448,,,53.0,43.3,,0.48,2.5,1.4,,6.65,1,51.35
Xeka,1619,,,48.7,38.6,,0.28,2.94,1.89,,9.89,1,50.38
David Raum,1183,,,58.5,43.0,,0.15,2.37,1.37,,5.19,1,49.56
Ömer Faruk Beyaz,71,,,48.8,36.3,,1.25,6.25,6.25,,13.8,1,56.35
Danilo Pereira,1184,,,73.5,68.9,,0.15,1.44,0.61,,7.05,1,76.56
Evan Ferguson,23,,,23.3,20.0,,0.0,0.0,0.0,,0.0,0,20.0
Alexander Djiku,1796,,,53.3,43.1,,0.1,1.95,1.25,,4.9,1,49.25
Marvin Zeegelaar,643,,,42.7,33.2,,0.0,3.1,2.39,,8.87,1,44.46
Riyad Mahrez,1498,,,56.0,46.2,,1.08,0.6,0.36,,6.57,1,53.13
Junior Sambia,1533,,,42.9,33.1,,0.35,1.18,0.47,,6.35,1,39.92
Julien Ponceau,1137,,,42.1,34.5,,0.08,1.59,1.03,,5.48,1,41.01
Dalbert Henrique,2081,,,36.7,26.1,,0.04,2.25,1.21,,7.01,0,34.32
Pape Matar Sarr,137,,,64.7,60.0,,0.0,4.0,3.33,,6.67,1,70.0
Pablo Sarabia,194,,,33.2,24.5,,0.0,0.91,0.45,,6.36,0,31.31
Neal Maupay,712,,,19.5,14.6,,0.89,0.76,0.38,,2.53,0,17.51
Alexandre Letellier,8,,,30.0,30.0,,0.0,0.0,0.0,,0.0,0,30.0
Abdoulaye Bamba,458,,,36.7,29.0,,0.0,1.18,0.0,,5.88,0,34.88
Matteo Lovato,1238,,,42.1,35.1,,0.07,2.03,1.67,,13.3,1,50.07
Flynn Downes,310,,,34.7,28.2,,0.0,2.06,1.47,,5.88,0,35.55
Vid Belec,1938,,,26.9,16.9,,0.0,0.0,0.0,,3.77,0,20.67
Dodi Lukebakio,176,,,18.0,13.5,,0.5,2.0,2.0,,2.5,0,18.0
Nelson Sissoko,45,,,20.0,16.0,,0.0,2.0,0.0,,2.0,0,18.0
Gabriele Zappa,1144,,,48.7,36.7,,0.16,1.73,0.94,,7.72,1,45.36
Yasser Larouci,1150,,,42.6,32.7,,0.23,1.02,0.63,,7.03,1,40.36
Sergio Reguilón,87,,,61.0,48.0,,0.0,3.0,2.0,,5.0,1,55.0
Raheem Sterling,2128,,,37.1,30.6,,1.06,1.19,0.76,,4.75,0,36.11
Jeffrey Schlupp,1630,,,35.7,27.3,,0.33,2.32,1.66,,5.64,0,34.6
Jannes Horn,478,,,57.7,41.9,,0.19,1.32,0.57,,9.25,1,51.72
Youssouph Badji,135,,,25.3,17.3,,0.0,0.0,0.0,,3.33,0,20.63
