name,minutes,passes_success,passes_total,shots_on_target,duels_won,duels_total,recoveries_high
Chris Wood,1367,12.0,20.3,0.66,0.53,0.72,2.7
Freddie Woodman,360,18.5,30.8,0.0,0.0,0.0,3.75
Christopher Wooh,1050,45.7,51.5,0.17,2.05,3.25,7.44
Joscha Wosz,9,30.0,40.0,0.0,0.0,0.0,0.0
Xeka,1619,38.6,48.7,0.28,1.89,2.94,9.89
Granit Xhaka,2327,52.0,59.8,0.19,0.93,1.51,9.58
Sekou Yansané,16,10.0,10.0,0.0,0.0,0.0,5.0
Andriy Yarmolenko,316,22.6,30.6,1.43,0.0,0.86,4.86
Yusuf Yazýcý,509,31.4,42.6,0.88,0.7,1.93,6.32
Kelvin Yeboah,850,12.9,19.8,0.43,0.85,1.17,5.64
Gerard Yepes,21,95.0,110.0,0.0,0.0,0.0,25.0
Burak Yýlmaz,2211,16.6,23.0,1.02,0.12,0.16,2.4
Okay Yokuþlu,140,43.8,46.9,0.0,1.25,1.88,13.1
Okay Yokuþlu,465,28.5,36.2,0.19,1.35,1.73,11.0
Leny Yoro,13,60.0,70.0,0.0,10.0,10.0,10.0
Maya Yoshida,1823,39.0,45.8,0.25,0.54,0.94,10.4
Ashley Young,1250,34.6,45.1,0.22,1.08,2.01,6.55
Nathan Young-Coombes,4,0.0,0.0,0.0,0.0,0.0,0.0
Zaydou Youssouf,1553,36.3,43.3,0.35,2.08,2.89,10.1
Mattia Zaccagni,180,30.0,37.5,1.0,1.0,1.5,4.0
Mattia Zaccagni,1876,29.3,35.9,0.48,1.11,1.63,4.04
Dan-Axel Zagadou,952,77.3,87.1,0.09,0.66,1.6,14.1
Wilfried Zaha,2760,24.4,31.4,0.85,1.14,1.56,6.91
Denis Zakaria,597,20.9,27.0,0.61,0.91,1.52,7.42
Denis Zakaria,1395,47.5,52.8,0.26,1.23,1.87,10.9
Joseba Zaldúa,1172,36.6,47.5,0.23,1.69,2.92,7.54
Nicola Zalewski,793,44.9,57.2,0.34,2.39,3.75,8.07
Andre-Frank Zambo Anguissa,1926,51.4,57.3,0.14,1.64,2.52,7.94
Nicolò Zaniolo,1971,18.0,25.3,0.91,0.55,1.23,5.21
Alessandro Zanoli,457,44.5,55.9,0.0,0.98,1.76,7.06
Mattia Zanotti,9,130.0,130.0,0.0,0.0,0.0,0.0
Duván Zapata,1722,22.3,29.2,1.62,0.21,0.37,3.72
Gabriele Zappa,1144,36.7,48.7,0.16,0.94,1.73,7.72
Davide Zappacosta,2345,48.1,58.3,0.19,0.69,1.19,6.25
Oier Zarraga,1166,30.1,38.7,0.23,0.69,1.23,8.08
Simone Zaza,129,24.3,31.4,2.14,1.43,2.14,10.7
Akim Zedadka,3337,45.7,56.9,0.16,1.13,2.05,9.06
Deyovaisio Zeefuik,565,31.4,41.0,0.0,1.11,1.9,8.25
Marvin Zeegelaar,643,33.2,42.7,0.0,2.39,3.1,8.87
Arber Zeneli,409,20.7,29.3,0.67,0.22,0.44,6.44
Robin Zentner,2880,21.5,31.2,0.0,0.0,0.03,5.44
Andi Zeqiri,1016,10.3,15.8,0.8,0.53,0.88,4.87
Mehdi Zerkane,83,47.8,51.1,0.0,2.22,2.22,8.89
Edon Zhegrova,481,34.7,45.1,1.32,2.08,2.45,7.17
Luca Zidane,645,23.5,32.1,0.0,0.0,0.0,5.0
Piotr Zieli?ski,2086,41.6,49.4,0.65,0.6,0.95,6.25
David Zima,1314,35.8,41.4,0.21,0.68,1.3,8.63
Christoph Zimmermann,157,28.2,38.8,0.59,1.76,2.94,9.41
Oleksandr Zinchenko,1047,81.6,91.5,0.34,0.95,1.72,9.83
Hakim Ziyech,1319,36.9,50.1,1.29,0.75,1.36,8.91
Jeroen Zoet,630,25.4,33.6,0.0,0.0,0.0,4.71
Simon Zoller,596,18.2,23.8,1.06,0.3,0.45,6.21
Nadir Zortea,1410,20.3,31.0,0.25,0.83,1.72,5.99
Banhie Zoukrou,77,26.7,28.9,1.11,0.0,1.11,2.22
Kurt Zouma,2078,36.6,41.1,0.09,0.22,0.48,7.1
Petar Zovko,29,23.3,33.3,0.0,0.0,0.0,3.33
Igor Zubeldia,1648,50.2,56.6,0.11,0.82,1.42,9.18
Martín Zubimendi,2591,43.2,50.4,0.35,1.08,2.08,9.41
Szymon ?urkowski,2307,28.6,35.7,0.66,1.91,2.77,8.05
Martin Ødegaard,2785,43.9,51.7,0.68,0.81,1.39,7.44
Milan ?uri?,2165,17.7,28.3,0.79,0.17,0.25,3.24
Filip ?uri?i?,671,24.5,30.1,0.93,0.93,1.6,4.67
Brenden Aaronson,1596,23.2,31.0,0.28,0.51,1.64,4.86
Yunis Abdelhamid,1980,38.5,47.2,0.05,1.59,2.5,6.64
Himad Abdelli,770,40.0,49.5,0.35,1.4,2.91,8.14
Salis Abdul Samed,1799,59.5,64.9,0.15,0.8,1.5,6.6
Laurent Abergel,1165,37.9,43.4,0.0,2.02,3.8,6.51
Oliver Abildgaard,11,20.0,30.0,0.0,10.0,10.0,10.0
Matthis Abline,185,7.14,10.0,1.43,0.48,1.43,0.48
Matthis Abline,107,5.83,12.5,1.67,0.83,0.83,1.67
Abner,272,39.0,54.3,0.33,2.33,2.67,6.0
Zakaria Aboukhlal,1507,17.6,25.3,1.02,0.72,1.14,4.43
Tammy Abraham,1582,13.7,20.1,1.25,0.4,0.74,1.87
Francesco Acerbi,1110,51.7,58.9,0.0,0.57,1.3,4.96
Mohamed Achi,36,45.0,52.5,0.0,2.5,2.5,5.0
Marcos Acuña,985,46.5,62.9,0.37,1.74,3.3,7.52
Che Adams,1577,14.6,22.2,0.74,0.69,0.86,2.29
Tyler Adams,1706,47.1,57.4,0.0,2.0,4.11,8.68
Sargis Adamyan,471,18.1,25.0,1.73,1.15,1.92,5.38
Tosin Adarabioyo,1095,38.9,48.5,0.16,0.41,1.07,4.67
Martin Adeline,107,24.2,34.2,0.0,2.5,2.5,9.17
Karim Adeyemi,765,24.2,32.9,0.94,0.71,1.18,4.94
Amine Adli,652,26.3,33.1,0.69,1.11,1.53,3.75
Yacine Adli,116,29.2,46.2,1.54,2.31,4.62,3.85
Michel Aebischer,775,32.6,39.8,0.23,0.12,0.47,5.0
Felix Afena-Gyan,359,17.8,22.5,0.25,0.5,1.0,4.25
Emmanuel Agbadou,1599,43.4,50.8,0.11,1.63,2.58,8.2
Lucien Agoume,286,47.5,57.2,0.0,2.19,4.38,5.63
Felix Agu,49,32.0,50.0,0.0,0.0,2.0,6.0
Álvaro Aguado,1130,44.2,53.3,0.16,0.48,0.95,5.71
Kevin Agudelo,1443,19.6,27.8,0.31,1.38,2.94,5.69
Nayef Aguerd,515,30.9,39.5,0.0,1.58,2.28,5.26
Ruben Aguilar,615,47.9,58.7,0.29,0.74,1.91,5.29
Naouirou Ahamada,16,50.0,70.0,0.0,0.0,0.0,10.0
Naouirou Ahamada,1398,29.0,34.1,0.32,0.71,1.1,5.68
Amar Ahmed,20,30.0,50.0,0.0,5.0,5.0,10.0
Jean-Eudes Aholou,834,26.1,36.3,0.32,1.4,2.04,5.27
Joseph Aidoo,1800,43.4,50.8,0.1,1.05,1.7,6.5
Ola Aina,676,41.5,55.7,0.4,1.33,1.73,6.27
Rayan Aït Nouri,913,39.3,48.4,0.5,1.58,2.67,5.25
Emanuel Aiwum,1029,36.4,47.3,0.09,2.28,3.77,7.02
Kristoffer Ajer,763,30.5,40.6,0.0,0.94,1.29,4.24
Ludovic Ajorque,771,20.7,29.7,0.81,0.47,0.58,2.44
Ludovic Ajorque,231,16.9,33.8,0.77,0.0,0.0,5.0
Manuel Akanji,1286,76.2,80.9,0.14,1.05,1.54,5.38
Nathan Aké,1156,84.2,92.0,0.0,0.55,1.25,5.0
Sergio Akieme,1890,34.0,43.9,0.29,0.76,1.29,5.14
Maghnes Akliouche,248,28.2,37.9,0.36,1.07,2.14,6.43
Paul Akouokou,238,36.2,38.8,0.38,1.92,3.46,6.54
Jean-Daniel Akpa-Akpro,606,24.8,31.8,0.3,2.39,3.13,4.78
Kevin Akpoguma,1030,37.6,47.8,0.09,1.93,3.16,6.05
David Alaba,1365,50.2,56.8,0.07,0.53,0.66,4.67
Tomás Alarcón,223,31.2,38.0,0.4,0.8,1.2,5.6
Lucas Alario,248,14.6,21.1,0.71,0.71,1.07,2.86
Jordi Alba,931,82.6,97.0,0.19,1.26,1.65,6.8
Luis Alberto,1053,53.3,66.7,0.6,0.94,1.88,6.07
Raúl Albiol,1519,54.7,61.8,0.0,0.65,1.01,4.32
Marc Albrighton,237,34.6,57.3,0.38,0.38,1.54,5.38
Thiago Alcántara,1154,65.8,76.6,0.08,1.8,3.2,8.13
Carlos Alcaraz,134,24.7,32.7,0.67,1.33,1.33,10.7
Rubén Alcaraz,1008,32.5,41.3,0.18,1.7,2.5,6.79
Omar Alderete,630,28.3,44.9,0.14,0.29,1.29,5.43
Iván Alejo,729,13.3,23.8,0.25,1.98,2.96,4.57
Doðan Alemdar,225,19.6,28.8,0.0,0.0,0.0,1.6
Carles Aleñá,1455,28.3,36.6,0.49,0.62,0.93,4.81
Trent Alexander-Arnold,1441,64.9,88.9,0.19,1.06,1.44,7.56
Alejandro Alfaro,15,5.0,5.0,0.0,0.0,0.0,0.0
Ángel Algobia,747,36.6,44.5,0.0,0.84,1.93,5.18
Mohamed Ali Cho,317,13.1,20.9,1.43,0.86,1.43,5.14
Faride Alidou,123,30.7,40.7,0.0,2.86,5.0,7.14
Alisson,1800,31.8,37.1,0.0,0.0,0.0,1.85
Jim Allevinah,1220,24.3,31.2,0.29,1.1,1.91,5.81
Dele Alli,40,30.0,37.5,0.0,0.0,0.0,5.0
Domingos André Ribeiro Almeida,1255,40.1,49.2,0.36,1.73,2.52,5.68
Miguel Almirón,1816,29.3,35.5,0.74,1.19,1.78,5.1
Marcos Alonso,620,73.6,80.7,0.14,0.72,1.16,5.22
Mickaël Alphonse,854,32.3,50.6,0.11,1.05,1.89,5.37
Éder Álvarez Balanta,58,26.7,41.7,0.0,3.33,3.33,5.0
Carlos Álvarez,10,0.0,0.0,0.0,10.0,0.0,0.0
Gastón Álvarez,571,21.1,32.2,0.32,1.43,2.22,3.81
Julián Álvarez,578,24.7,31.3,1.25,0.78,1.56,2.19
Agustín Álvarez Martínez,296,15.8,19.7,0.91,0.61,0.91,4.55
Yeray Álvarez,1565,44.3,54.1,0.06,0.8,1.21,7.07
Ibrahim Amadou,401,33.8,38.9,0.0,1.33,2.0,5.33
Daniel Amartey,1365,57.5,62.8,0.13,0.39,1.12,5.53
Amath,494,16.7,21.6,0.73,1.82,3.09,4.55
Jordan Amavi,193,24.3,45.7,0.0,0.95,1.43,7.14
Kelvin Amian,1049,29.8,39.8,0.09,1.2,2.05,3.85
Bruno Amione,58,18.3,26.7,0.0,1.67,1.67,8.33
Bruno Amione,790,36.7,47.6,0.11,1.59,2.61,5.34
Nadiem Amiri,636,37.0,44.2,0.7,0.42,1.13,6.34
Ethan Ampadu,1360,36.4,48.7,0.26,1.66,2.91,7.09
Sofyan Amrabat,1165,62.2,70.1,0.16,1.16,1.71,7.36
Joachim Andersen,1477,50.9,63.8,0.3,0.67,1.46,6.1
Elliot Anderson,121,41.5,54.6,0.77,2.31,3.85,9.23
Felipe Anderson,1687,30.4,39.8,0.64,1.44,2.3,4.01
Benjamin André,1756,57.3,68.0,0.1,2.31,4.15,8.92
Komnen Andri?,1250,20.6,27.4,0.79,0.29,0.79,2.52
Robert Andrich,1416,44.8,53.5,0.25,1.59,2.42,5.48
Angeliño,1597,36.1,54.5,0.17,0.45,1.02,4.97
Fabrizio Angileri,510,22.8,38.8,0.0,0.88,1.23,2.81
Jaidon Anthony,783,28.9,39.5,1.15,1.49,2.76,5.17
Janis Antiste,52,21.7,30.0,1.67,0.0,1.67,6.67
Waldemar Anton,1794,49.7,62.4,0.2,1.01,1.56,7.49
Marcos Antônio,311,52.6,58.9,0.0,1.14,1.43,6.29
Michail Antonio,1051,9.06,17.4,0.68,0.51,0.94,1.88
Antony,908,31.6,40.9,1.39,0.3,1.39,4.95
Valentin Antov,172,48.4,58.4,0.0,2.11,2.63,7.37
Christopher Antwi-Adjei,788,16.7,28.7,0.45,0.91,1.36,5.8
Anuar,210,13.0,17.4,0.43,1.74,1.74,4.35
Houssem Aouar,402,51.1,64.7,0.67,0.67,1.78,4.89
Adil Aouchiche,85,44.4,58.9,1.11,0.0,0.0,3.33
Dennis Appiah,795,38.5,53.2,0.11,1.25,2.39,5.68
Mauro Arambarri,587,34.5,41.5,0.0,0.62,1.38,5.69
Charles Aránguiz,493,45.1,56.5,0.36,1.27,3.09,6.0
Ronald Araújo,859,58.1,65.5,0.0,0.95,1.37,3.68
Cameron Archer,49,16.0,24.0,0.0,0.0,0.0,4.0
Taïryk Arconte,32,2.5,2.5,2.5,0.0,0.0,0.0
Alphonse Areola,107,24.2,35.0,0.0,0.0,0.0,0.83
Joe Aribo,1094,21.1,29.0,0.66,1.56,2.38,5.9
Adam Armstrong,1027,16.2,22.1,0.79,0.53,0.88,3.86
Stuart Armstrong,767,34.2,43.2,0.35,0.94,1.65,5.41
Marko Arnautovi?,1189,19.5,27.6,0.76,0.38,0.61,2.05
Maximilian Arnold,1728,38.3,51.6,0.36,0.89,1.82,7.55
Kepa Arrizabalaga,1215,32.1,37.5,0.0,0.15,0.15,1.63
Roberto Arroyo,15,0.0,25.0,0.0,5.0,5.0,0.0
Tolgay Arslan,815,33.6,42.2,0.55,0.99,1.76,4.84
Arthur,663,13.4,18.6,1.22,0.27,0.81,1.89
Santiago Arzamendia,299,24.2,37.3,0.3,1.21,1.52,8.18
Takuma Asano,637,14.1,19.9,0.85,0.42,0.7,4.37
Santiago Ascacíbar,727,44.2,53.7,0.37,1.73,3.7,7.65
Sergio Asenjo,450,24.2,36.2,0.0,0.0,0.0,2.6
Marco Asensio,500,39.8,48.9,1.07,0.89,1.43,2.5
Kristoffer Askildsen,592,21.4,33.5,0.45,0.45,1.06,5.61
Fisnik Asllani,60,22.9,38.6,0.0,0.0,0.0,2.86
Kristjan Asllani,295,59.4,68.5,0.0,1.21,2.12,7.27
Iago Aspas,1662,29.0,37.5,1.03,0.05,0.11,3.35
Lorenz Assignon,194,40.5,49.1,0.45,0.91,2.73,5.91
Youcef Atal,637,47.0,58.3,0.7,2.68,4.79,5.77
Pierre-Emerick Aubameyang,433,12.7,17.9,1.04,0.0,0.21,2.08
Pierre-Emerick Aubameyang,9,30.0,30.0,0.0,0.0,0.0,10.0
Emil Audero,1890,23.9,36.3,0.0,0.0,0.0,1.52
Tommaso Augello,1626,37.6,52.2,0.11,0.39,0.5,4.64
Ludwig Augustinsson,77,28.9,47.8,1.11,1.11,1.11,10.0
Ludwig Augustinsson,71,26.3,37.5,0.0,0.0,0.0,3.75
Serge Aurier,1082,33.6,49.3,0.17,2.0,3.25,6.58
Mathias Autret,1191,31.5,41.7,0.83,0.76,1.44,4.92
Ezequiel Ávila,1161,15.3,27.3,1.4,0.23,0.39,3.1
Cédric Avinel,1102,32.1,37.5,0.08,0.25,0.66,4.1
Taiwo Awoniyi,730,11.1,15.3,0.99,0.99,1.23,4.07
Mehmet-Can Aydin,295,24.5,40.9,0.0,2.73,3.94,7.27
André Ayew,29,6.67,6.67,0.0,0.0,3.33,0.0
Jordan Ayew,1497,21.4,28.1,0.36,1.81,2.83,5.48
Kaan Ayhan,545,47.2,54.4,0.16,0.66,1.64,4.59
Luke Ayling,704,33.1,49.2,0.13,1.79,3.33,6.92
Ayman Azhil,1,0.0,0.0,0.0,0.0,0.0,0.0
Sardar Azmoun,311,14.6,24.9,1.14,0.57,1.14,4.0
César Azpilicueta,1023,54.6,67.7,0.09,1.32,2.28,3.86
Sanoussy Ba,1,0.0,0.0,0.0,0.0,0.0,0.0
Iddrisu Baba,995,25.5,30.7,0.0,0.99,1.98,6.67
Sr?an Babi?,1575,38.6,45.5,0.17,0.46,1.03,4.29
Loïc Bade,448,68.8,76.8,0.0,1.2,1.4,7.6
Loïc Bade,90,52.0,59.0,0.0,1.0,1.0,4.0
Édgar Badía,1800,20.3,28.3,0.0,0.0,0.05,1.05
Benoît Badiashile,360,81.5,89.0,0.25,0.5,1.5,5.5
Benoît Badiashile,839,43.3,50.3,0.32,0.86,1.08,7.2
Alex Baena,1039,26.3,34.0,1.13,0.78,1.48,5.22
Jaime Báez,96,29.1,43.6,0.0,1.82,3.64,4.55
Leon Bailey,1317,16.0,25.8,0.82,0.34,0.75,3.15
Eric Bailly,351,36.2,43.1,0.0,1.54,1.79,5.64
Dénys Bain,126,37.1,40.0,0.0,2.14,2.86,3.57
Brandon Baiye,51,45.0,53.3,0.0,3.33,5.0,3.33
Stefan Bajcetic,194,37.7,47.3,0.45,0.91,1.36,8.64
Nedim Bajrami,941,24.8,33.1,0.67,0.38,0.76,4.67
Nedim Bajrami,24,16.7,23.3,3.33,0.0,0.0,3.33
Cédric Bakambu,59,27.1,32.9,0.0,1.43,2.86,7.14
Mitchel Bakker,968,43.5,55.0,0.37,0.65,1.02,6.39
Ridle Baku,1730,43.3,55.1,0.47,0.68,1.67,5.83
Tommaso Baldanzi,769,30.5,36.7,0.82,0.82,1.76,3.18
Alejandro Balde,1210,59.3,65.4,0.15,1.34,1.72,6.27
Thierno Balde,1319,33.9,40.7,0.0,0.75,1.63,6.26
Carlos Baleba,269,53.3,63.7,0.33,3.0,3.33,8.33
Mikel Balenziaga,45,56.0,74.0,0.0,4.0,4.0,4.0
Leonardo Balerdi,1765,47.4,55.6,0.0,1.07,1.63,6.38
Iván Balliu,1793,43.3,56.1,0.05,0.65,1.01,4.12
Fodé Ballo-Touré,196,46.8,53.6,0.45,0.45,2.27,7.27
Folarin Balogun,1591,10.5,16.1,1.58,0.11,0.28,2.94
Abdoulaye Bamba,555,35.2,43.5,0.0,1.13,2.42,4.84
Jonathan Bamba,1454,36.0,45.9,0.93,0.49,0.99,5.31
Patrick Bamford,593,13.5,19.1,1.36,0.45,0.61,2.88
Lameck Banda,1051,14.0,22.4,0.6,0.94,1.62,4.27
Filippo Bandinelli,1506,30.8,41.9,0.3,1.32,2.1,5.45
Léo Baptistão,949,20.9,30.2,0.86,1.33,2.1,6.29
Shandon Baptiste,431,32.1,38.8,0.21,1.04,1.46,6.67
Antonín Barák,25,36.7,46.7,0.0,0.0,0.0,6.67
Antonín Barák,999,29.3,36.3,0.27,0.63,1.08,3.6
Andrea Barberis,316,38.0,45.1,0.0,0.57,1.71,4.0
Bradley Barcola,336,19.2,26.8,0.81,1.35,1.89,3.24
Melvin Bard,1498,42.0,53.3,0.0,2.29,3.67,5.96
Keidi Bare,330,37.8,45.4,0.54,0.81,1.89,4.32
Nicolò Barella,1609,42.2,52.3,0.45,0.73,1.34,5.92
Kike Barja,387,27.2,40.7,0.7,0.23,0.7,3.95
Ross Barkley,615,33.4,42.8,1.18,0.59,1.18,5.74
Aymen Barkok,307,25.6,37.1,0.29,1.47,3.53,7.35
Harvey Barnes,1696,18.4,25.9,1.22,0.59,0.85,3.03
Leandro Barreiro Martins,1083,16.8,25.0,0.58,1.5,2.33,6.42
Ander Barrenetxea,191,24.3,31.9,0.95,1.43,2.86,9.52
Mickaël Barreto,343,31.3,43.9,0.0,1.58,3.16,5.79
Pablo Barrios,269,52.0,61.3,0.67,1.33,2.33,5.33
Musa Barrow,763,23.4,34.5,0.71,0.24,0.82,4.71
Federico Baschirotto,1980,29.0,39.5,0.14,0.73,0.91,5.27
Toma Bai?,373,37.8,52.0,0.73,0.73,1.22,4.88
Gil Bastião Dias,113,30.0,40.0,0.77,0.0,0.0,7.69
Alessandro Bastoni,1267,58.3,69.9,0.21,0.85,1.77,4.82
Simone Bastoni,946,26.8,44.7,0.57,1.71,3.52,6.76
Rodrigo Battaglia,660,23.7,29.6,0.0,0.68,1.64,3.97
Maximilian Bauer,1040,25.4,35.6,0.0,0.86,1.38,5.6
Oliver Baumann,1800,35.0,43.5,0.0,0.0,0.0,1.85
Timo Baumgartl,314,44.9,54.9,0.57,1.43,2.57,6.57
Julian Baumgartlinger,278,33.9,41.9,0.0,0.65,1.94,5.16
Christoph Baumgartner,1600,23.6,34.4,0.73,0.62,1.24,5.06
Cyrille Bayala,1266,18.4,30.6,0.35,1.99,2.77,6.45
Brian Bayeye,54,48.3,76.7,0.0,0.0,5.0,15.0
Noah Joel Sarenren Bazee,9,10.0,10.0,0.0,0.0,0.0,10.0
Gavin Bazunu,1980,22.2,36.6,0.0,0.0,0.05,1.23
Bebé,60,30.0,54.3,0.0,0.0,0.0,8.57
Ihlas Bebou,310,12.6,20.6,1.47,0.88,0.88,4.12
Rodrigo Becão,1322,40.6,51.8,0.2,1.43,3.13,5.78
Mads Bech Sørensen,21,35.0,55.0,0.0,0.0,0.0,0.0
Julius Beck,10,50.0,50.0,0.0,10.0,20.0,10.0
Sheraldo Becker,1454,12.0,20.9,0.93,0.19,0.49,2.78
Jan Bednarek,339,34.7,42.6,0.0,1.32,1.84,6.32
Jan Bednarek,100,54.5,60.0,0.0,2.73,2.73,3.64
Donny van de Beek,167,24.2,32.1,0.0,0.0,0.0,1.58
Asmir Begovi?,90,21.0,30.0,0.0,0.0,0.0,0.0
Yanis Begraoui,65,20.0,27.1,0.0,0.0,2.86,4.29
Kevin Behrens,758,18.0,29.6,0.83,0.36,0.48,2.98
Alexis Beka Beka,276,45.5,56.1,0.32,1.29,2.9,9.68
Jérémie Bela,643,22.1,32.4,0.42,0.56,0.85,3.66
Youcef Belaïli,780,25.9,35.9,0.69,1.03,1.61,4.71
Youcef Belaïli,356,28.5,39.5,0.25,0.5,1.25,4.75
Haris Belkebla,1492,36.1,43.2,0.12,1.69,2.65,6.81
Stefan Bell,1140,38.1,49.1,0.0,0.94,1.34,7.87
Armel Bella Kotchap,1026,30.2,40.0,0.09,0.61,1.67,7.11
Raoul Bellanova,159,47.8,63.9,0.0,1.11,2.78,3.89
Karim Bellarabi,82,37.8,56.7,0.0,0.0,2.22,4.44
Jean-Ricner Bellegarde,1589,37.6,49.9,0.34,0.96,1.75,6.38
Héctor Bellerín,143,48.1,60.0,0.0,0.0,1.25,6.25
Jude Bellingham,1690,44.1,54.6,0.74,1.54,2.93,7.71
Jeanöel Belocian,8,60.0,60.0,0.0,0.0,0.0,0.0
Andrea Belotti,406,15.1,22.2,0.89,0.67,1.11,2.44
Fran Beltrán,1614,54.6,60.8,0.06,0.61,0.95,6.42
Eliesse Ben Seghir,466,25.6,32.1,0.96,1.35,1.92,4.42
Salim Ben Seghir,4,2.0,2.0,0.0,0.0,0.0,2.0
Wissam Ben Yedder,1135,20.7,27.1,1.59,0.32,0.63,2.62
Marco Benassi,93,91.0,105.0,0.0,3.0,3.0,10.0
Marco Benassi,185,24.3,31.0,0.95,0.48,0.48,5.24
Ismaël Bennacer,1413,55.2,64.1,0.13,1.53,3.06,9.55
Saïd Benrahma,1193,27.8,34.6,0.83,0.45,1.05,5.04
Ramy Bensebaini,1608,40.3,52.7,0.45,1.01,1.56,5.87
Nabil Bentaleb,1518,54.7,67.8,0.36,1.72,3.25,8.52
Rodrigo Bentancur,1500,44.1,52.6,0.54,1.68,2.69,7.66
Karim Benzema,1046,40.8,47.8,1.38,0.34,0.52,1.98
Domenico Berardi,914,29.5,43.4,0.78,0.98,1.27,4.41
Yuri Berchiche,946,47.0,57.6,0.29,1.24,2.0,5.9
Álex Berenguer,1366,24.1,35.5,0.66,1.45,2.24,4.47
Bartosz Bereszy?ski,1198,35.4,48.4,0.0,1.35,2.11,5.11
Patrick Berg,25,56.7,66.7,0.0,0.0,0.0,3.33
Mitchell van Bergen,629,16.1,25.9,1.29,0.71,1.71,6.0
Mergim Berisha,1143,9.53,20.8,0.79,0.24,0.55,2.76
Quentin Bernard,630,46.3,59.6,0.0,1.0,1.29,5.57
Paul Bernardoni,1260,17.6,25.2,0.0,0.0,0.07,0.71
Juan Bernat,994,53.1,57.2,0.36,1.0,2.0,5.09
Victor Bernth Kristiansen,170,33.2,50.5,0.0,4.74,6.32,4.74
Jason Berthomier,23,63.3,63.3,0.0,0.0,0.0,6.67
Beto,1203,8.51,13.7,0.9,0.67,0.97,1.27
Owen Bevan,9,20.0,30.0,0.0,0.0,0.0,10.0
Matteo Bianchetti,1243,29.9,38.9,0.29,0.72,1.3,5.07
Alessandro Bianco,112,38.3,45.0,0.83,0.83,2.5,4.17
Giulian Biancone,17,75.0,105.0,0.0,5.0,10.0,25.0
Ermin Bi?ak?i?,59,40.0,48.6,0.0,0.0,1.43,4.29
Pedro Bigas,1278,37.4,46.9,0.35,0.85,1.55,6.06
Jaka Bijol,1383,34.8,41.4,0.19,0.65,1.04,4.68
El Bilal Touré,935,13.6,19.1,1.06,0.19,0.29,3.46
El Bilal Touré,91,16.0,20.0,1.0,0.0,0.0,3.0
Philip Billing,1555,23.3,31.2,0.58,1.21,2.2,4.86
Jean-Claude Billong,23,110.0,113.3,0.0,0.0,0.0,10.0
Cristiano Biraghi,1622,51.9,72.1,0.06,1.28,2.17,4.78
Samuele Birindelli,880,37.1,51.0,0.31,1.02,2.04,4.9
Veljko Birman?evi?,268,20.3,30.3,0.33,2.33,3.33,4.67
Tom Bischof,235,23.1,30.4,0.38,2.31,3.46,3.46
Yves Bissouma,814,57.1,63.4,0.0,1.11,1.33,6.56
Kristijan Bistrovi?,461,19.8,27.5,0.2,0.2,0.59,2.94
Leonardo Bittencourt,860,29.2,41.0,0.63,1.25,2.29,6.56
Marco Bizot,1890,19.9,27.7,0.0,0.0,0.0,0.71
Blanco,158,31.7,33.9,0.0,2.22,3.33,3.89
Lautaro Blanco,230,23.1,40.0,0.0,0.77,1.92,6.92
Rubén Blanco,360,30.0,38.3,0.0,0.0,0.0,1.5
Ludovic Blas,1667,29.7,37.2,1.03,1.14,1.62,5.57
Janis Blaswich,1170,34.6,39.2,0.0,0.0,0.0,1.38
Miha Bla?i?,1485,47.8,55.0,0.12,0.18,0.18,5.52
Joaquín Blázquez,90,21.0,29.0,0.0,0.0,0.0,0.0
Alexis Blin,1253,32.8,40.5,0.07,1.08,2.52,5.04
Daley Blind,37,50.0,52.5,2.5,0.0,0.0,5.0
Myron Boadu,58,3.33,10.0,1.67,0.0,0.0,0.0
Jérôme Boateng,315,36.6,46.3,0.0,0.0,0.57,2.57
Kevin-Prince Boateng,133,42.0,56.0,0.0,0.67,1.33,7.33
Antonin Bobichon,18,60.0,100.0,5.0,0.0,0.0,10.0
Jean-Paul Boëtius,750,25.7,35.4,0.36,1.45,2.41,6.51
Jeremie Boga,393,41.4,51.6,0.45,0.45,0.68,3.41
Emil Bohinen,338,41.1,47.1,0.0,2.11,3.68,8.68
Quentin Boisgard,184,39.5,49.0,1.5,1.0,3.0,4.5
Willy Boly,592,27.4,36.4,0.0,0.91,1.97,5.3
Giacomo Bonaventura,1335,36.4,43.8,0.61,1.28,1.82,6.89
Federico Bonazzoli,904,20.7,27.6,0.6,0.1,0.3,3.0
Warren Bondo,60,64.3,72.9,0.0,0.0,1.43,5.71
Theo Bongonda,808,15.0,22.7,0.44,1.11,1.33,4.89
Kevin Bonifazi,416,46.7,54.6,0.0,0.87,1.3,6.09
Leonardo Bonucci,600,44.6,52.4,0.15,0.45,0.45,5.37
Neto Borges,1711,36.2,46.8,0.16,1.58,2.63,5.47
Yvandro Borges Sanches,28,26.7,30.0,0.0,6.67,6.67,10.0
Sebastiaan Bornauw,1137,45.4,54.1,0.08,0.71,0.95,4.92
Rafael Borré,492,26.0,35.3,0.55,1.82,2.55,5.09
Erik Botheim,335,14.6,23.0,0.27,0.81,1.08,2.97
Sven Botman,1687,44.2,51.5,0.21,0.75,1.28,4.81
Kenji-Van Boto,90,23.0,30.0,0.0,1.0,1.0,3.0
Kouamé Botué,225,12.8,18.4,0.0,0.8,1.6,5.2
