name,minutes,passes_success,passes_total,shots_on_target,duels_won,duels_total,recoveries_high
Cameron Archer,27,16.7,16.7,0.0,0.0,0.0,6.67
Alphonse Areola,90,20.0,41.0,0.0,0.0,0.0,2.0
Jesús Areso,188,23.3,35.2,0.0,1.43,2.38,7.14
Matias Arezo,162,12.8,21.7,1.67,1.11,2.22,7.22
Santiago Arias,440,33.5,45.5,0.2,1.22,2.65,11.0
Adam Armstrong,1413,14.2,20.1,0.89,0.45,0.64,3.63
Stuart Armstrong,1473,35.5,44.8,0.55,0.91,1.59,8.96
Marko Arnautovi?,2694,22.8,31.0,1.07,0.5,0.74,3.85
Maximilian Arnold,2994,43.4,55.5,0.42,1.02,1.5,10.7
Kepa Arrizabalaga,360,28.8,34.8,0.0,0.0,0.0,4.0
Tolgay Arslan,1658,29.7,37.0,0.49,1.25,1.74,10.1
Arthur,749,13.7,17.3,0.96,0.72,1.08,1.93
Santiago Arzamendia,469,21.0,32.7,0.19,2.31,2.69,8.46
Takuma Asano,1608,14.7,21.1,0.61,0.61,0.89,5.81
Santiago Ascacíbar,2375,37.0,44.8,0.04,2.31,3.64,11.8
Sergio Asenjo,540,30.5,37.0,0.0,0.0,0.0,5.5
Alejandro Asensio,12,70.0,80.0,0.0,0.0,0.0,20.0
Marco Asensio,1731,38.5,47.1,1.61,0.52,0.83,5.31
Harrison Ashby,7,70.0,80.0,0.0,0.0,0.0,10.0
Kristoffer Askildsen,754,18.6,27.1,0.0,1.19,1.9,8.57
Fisnik Asllani,9,60.0,80.0,0.0,0.0,0.0,0.0
Kristjan Asllani,1353,41.1,49.7,0.4,0.93,1.8,8.4
Iago Aspas,3087,28.5,39.6,1.08,0.2,0.41,5.63
Lorenz Assignon,616,45.7,56.9,0.59,1.47,2.06,9.26
Simon Asta,783,33.0,46.1,0.0,0.92,1.61,9.31
Youcef Atal,1140,44.0,57.4,0.39,1.65,2.52,9.29
Pierre-Emerick Aubameyang,1082,15.4,20.3,1.67,0.17,0.17,2.58
Pierre-Emerick Aubameyang,1037,12.6,17.8,1.39,0.61,1.04,3.3
Emil Audero,2560,24.4,35.2,0.0,0.0,0.0,3.87
Tommaso Augello,2395,39.9,52.0,0.08,0.9,1.69,8.31
Jean-Kévin Augustin,84,16.7,20.0,0.0,0.0,0.0,1.11
Ludwig Augustinsson,793,51.4,63.6,0.23,1.48,2.16,7.05
Serge Aurier,1010,56.0,65.5,0.18,1.25,1.88,10.1
Ezequiel Ávila,1870,14.8,26.2,0.72,0.43,0.77,5.48
Taiwo Awoniyi,2174,13.8,20.0,1.24,0.37,0.7,4.5
Ramzi Aya,135,12.0,18.7,0.0,0.67,0.67,4.67
Jordan Ayew,2019,25.4,33.3,0.36,1.52,2.32,6.96
Kaan Ayhan,1354,52.5,57.9,0.07,0.6,1.47,8.2
Luke Ayling,2272,48.3,61.8,0.12,1.79,3.13,10.4
Karim Azamoum,388,25.1,33.7,0.7,1.4,1.86,4.88
Sardar Azmoun,359,20.0,28.0,1.0,0.25,0.25,5.25
César Azpilicueta,2070,62.7,74.5,0.17,1.35,2.35,7.35
Iddrisu Baba,1934,29.0,36.0,0.37,2.37,3.3,13.0
Carlos Bacca,513,12.5,19.1,0.35,0.53,0.88,2.81
Daniel Bachmann,1080,17.6,29.8,0.0,0.0,0.0,4.75
Loïc Bade,985,59.8,65.0,0.0,0.28,0.46,7.8
Milan Badelj,2844,39.9,50.7,0.16,1.39,2.09,12.6
Édgar Badía,2160,23.3,34.5,0.0,0.0,0.0,5.75
Benoît Badiashile,1838,59.1,66.0,0.2,1.37,1.91,11.7
Youssouph Badji,135,17.3,25.3,0.0,0.0,0.0,3.33
Miguel Baeza,2,4.0,5.0,0.0,0.0,0.0,0.0
Nicola Bagnolini,3,0.0,4.0,0.0,0.0,0.0,0.0
Issa Bah,9,50.0,60.0,0.0,0.0,0.0,40.0
Stéphane Bahoken,1099,13.8,18.0,1.15,0.66,1.31,3.28
Leon Bailey,761,17.5,26.4,0.94,1.41,2.24,5.06
Eric Bailly,217,26.7,33.3,0.0,1.25,3.33,9.58
Dénys Bain,180,39.5,41.0,0.0,2.0,2.5,4.5
Stefan Bajic,510,22.8,32.5,0.0,0.0,0.0,7.89
Nedim Bajrami,2054,27.5,38.8,0.79,1.23,1.54,5.26
Cédric Bakambu,356,13.0,17.3,2.0,0.5,0.5,3.25
Abdoulaye Bakayoko,307,27.4,38.5,0.0,2.94,4.71,10.0
Tiemoué Bakayoko,501,49.3,55.7,0.0,2.32,3.39,12.3
Mitchel Bakker,1822,50.0,60.5,0.1,1.24,2.08,7.87
Ridle Baku,2446,37.5,48.8,0.29,1.25,2.32,8.16
Dilane Bakwa,43,18.0,28.0,2.0,0.0,2.0,16.0
Tommaso Baldanzi,18,25.0,35.0,0.0,0.0,0.0,0.0
Alejandro Balde,188,66.7,72.4,0.0,0.95,1.9,7.14
Ibrahima Baldé,58,13.3,18.3,0.0,0.0,0.0,3.33
Keita Baldé,1229,14.5,19.6,0.66,0.22,0.66,3.58
Gareth Bale,280,15.5,20.6,1.94,0.32,0.32,3.23
Mikel Balenziaga,2027,34.0,44.6,0.09,1.6,2.22,8.93
Leonardo Balerdi,950,70.5,76.3,0.0,0.75,1.13,9.34
Iván Balliu,3147,39.2,51.3,0.09,0.43,0.91,8.43
Fodé Ballo-Touré,446,46.2,54.6,0.2,2.4,3.8,10.2
Folarin Balogun,70,5.0,10.0,0.0,0.0,0.0,3.75
Abdoulaye Bamba,458,29.0,36.7,0.0,0.0,1.18,5.88
Jonathan Bamba,2428,32.1,42.6,0.44,0.7,1.0,6.63
Patrick Bamford,559,13.7,16.6,0.81,0.32,0.48,3.06
Filippo Bandinelli,1955,26.4,34.8,0.55,1.2,2.3,8.2
Mattia Bani,1211,25.0,34.0,0.0,0.81,1.78,11.0
Simon Banza,124,14.3,20.7,2.86,1.43,2.14,4.29
Shandon Baptiste,910,25.1,30.2,0.4,0.4,0.69,8.12
