name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries
Antonio Barragán,1020,,,47.5,37.8,,0.0,2.39,0.88,,5.75
Leandro Barreiro Martins,1789,,,27.4,20.1,,0.45,3.57,1.76,,8.69
Ander Barrenetxea,547,,,30.7,22.3,,0.33,3.44,2.46,,5.9
Jacob Barrett Laursen,1632,,,43.6,31.1,,0.22,1.33,0.88,,9.45
Musa Barrow,2134,,,39.6,30.1,,1.18,0.68,0.51,,4.94
Abdourahmane Barry,210,,,50.0,38.3,,0.0,3.91,1.3,,12.2
Marc Bartra,1993,,,50.1,41.6,,0.14,1.99,0.9,,9.32
Daniele Baselli,150,,,51.2,37.6,,0.0,1.18,0.0,,14.1
Daniele Baselli,290,,,46.9,34.7,,0.0,1.88,0.94,,10.3
Toma Bai?,982,,,41.6,35.1,,1.01,1.1,0.73,,6.51
Toma Bai?,209,,,43.9,32.2,,0.0,2.17,1.3,,5.65
Amine Bassi,184,,,59.5,43.0,,0.5,2.0,2.0,,7.0
Álvaro Bastida,197,,,24.1,19.1,,0.0,2.27,0.91,,5.91
Alessandro Bastoni,2311,,,70.0,62.3,,0.08,1.95,1.36,,9.3
Simone Bastoni,2288,,,47.6,35.0,,0.24,2.36,1.42,,8.82
Lewis Bate,146,,,33.8,25.6,,0.0,0.63,0.0,,10.6
Rodrigo Battaglia,1179,,,40.2,33.2,,0.08,2.82,2.29,,11.7
Maximilian Bauer,1690,,,46.2,38.4,,0.05,1.86,1.33,,8.4
Oliver Baumann,2970,,,46.1,36.7,,0.0,0.0,0.0,,6.7
Timo Baumgartl,2166,,,48.4,38.9,,0.17,2.9,1.54,,10.7
Julian Baumgartlinger,88,,,66.0,58.0,,0.0,3.0,3.0,,13.0
Christoph Baumgartner,1888,,,35.9,25.8,,0.81,1.52,1.24,,7.67
Jon Bautista,45,,,16.0,12.0,,0.0,6.0,0.0,,4.0
Mohamed Bayo,2413,,,20.3,14.9,,0.97,0.52,0.3,,3.54
Paul Baysse,11,,,40.0,20.0,,0.0,10.0,10.0,,10.0
Noah Joel Sarenren Bazee,241,,,18.9,11.5,,1.11,1.85,1.48,,6.67
Bebé,867,,,35.6,22.0,,0.73,1.04,0.52,,6.88
Ihlas Bebou,2091,,,27.2,19.7,,0.6,1.08,0.78,,4.61
Rodrigo Becão,3130,,,40.2,32.0,,0.14,2.73,2.07,,7.7
Mads Bech Sørensen,835,,,53.8,41.7,,0.0,1.29,0.75,,10.8
Sheraldo Becker,1758,,,31.3,19.7,,0.92,0.77,0.46,,7.03
Jan Bednarek,2629,,,49.0,40.6,,0.24,1.27,0.72,,11.1
Donny van de Beek,75,,,40.0,31.3,,1.25,6.25,3.75,,13.8
Donny van de Beek,483,,,44.6,37.4,,0.19,2.78,1.67,,11.7
Asmir Begovi?,270,,,28.0,11.7,,0.0,0.0,0.0,,3.67
Valon Behrami,311,,,20.0,14.6,,0.0,1.71,0.86,,6.0
Kevin Behrens,499,,,33.5,23.1,,1.27,0.91,0.55,,6.55
Youcef Belaïli,825,,,42.4,29.8,,0.65,0.54,0.22,,5.0
Vid Belec,1938,,,26.9,16.9,,0.0,0.0,0.0,,3.77
Ishak Belfodil,1636,,,25.9,18.2,,0.93,0.66,0.33,,3.41
Haris Belkebla,2310,,,39.2,33.0,,0.04,2.18,1.25,,9.07
Stefan Bell,2864,,,46.5,36.7,,0.16,2.01,1.07,,11.9
Armel Bella Kotchap,1768,,,37.9,29.8,,0.15,2.04,1.22,,8.83
Raoul Bellanova,2496,,,33.9,24.5,,0.18,1.3,0.61,,5.99
Karim Bellarabi,683,,,35.1,26.2,,1.45,1.45,1.18,,5.0
Jean-Ricner Bellegarde,2332,,,41.7,34.6,,0.27,2.51,2.01,,9.58
Héctor Bellerín,1979,,,48.4,37.0,,0.05,2.0,0.86,,7.55
Jude Bellingham,2790,,,49.5,41.9,,0.39,2.1,1.29,,7.87
George Bello,434,,,36.9,28.8,,0.0,2.08,1.25,,7.5
Jeanuel Belocian,12,,,100.0,80.0,,0.0,0.0,0.0,,10.0
Andrea Belotti,1371,,,23.6,16.7,,1.05,0.66,0.46,,3.55
Fran Beltrán,2597,,,65.9,59.8,,0.14,2.63,1.7,,11.5
Hatem Ben Arfa,314,,,44.9,39.4,,0.29,0.86,0.57,,4.86
Salim Ben Seghir,1,,,1.0,1.0,,0.0,0.0,0.0,,0.0
Wissam Ben Yedder,2529,,,24.1,17.5,,1.25,0.78,0.5,,3.99
