name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries
Robert Skov,368,,,42.7,32.0,,0.49,0.49,0.49,,5.85
Milan kriniar,3150,,,60.9,56.8,,0.23,1.17,0.71,,7.51
Islam Slimani,573,,,30.2,23.6,,0.63,0.31,0.31,,3.28
William Smallbone,133,,,25.3,14.7,,0.0,4.0,3.33,,6.0
Chris Smalling,2091,,,44.7,40.0,,0.13,1.59,0.95,,8.97
Emile Smith Rowe,1921,,,38.1,32.4,,1.08,0.94,0.75,,6.76
Cédric Soares,1486,,,67.3,53.0,,0.06,2.36,1.21,,9.33
Danilo Soares,2564,,,58.2,43.5,,0.04,4.18,2.39,,11.6
Rubén Sobrino,1861,,,24.3,18.0,,0.48,1.4,0.87,,6.81
Rubén Sobrino,14,,,5.0,5.0,,0.0,5.0,0.0,,0.0
Alex Sola,41,,,42.0,30.0,,0.0,2.0,2.0,,4.0
Augusto Solari,714,,,54.4,37.5,,0.13,3.42,2.41,,12.2
Roberto Soldado,664,,,19.9,13.5,,1.08,0.68,0.27,,4.05
Carlos Soler,2474,,,35.8,24.7,,0.51,1.05,0.69,,6.8
Yann Sommer,2970,,,44.2,33.4,,0.0,0.0,0.0,,5.48
Son,1971,,,48.4,36.2,,0.32,1.23,0.68,,7.26
Brandon Soppy,777,,,27.1,19.3,,0.23,2.79,1.74,,7.56
David Soria,3414,,,31.1,16.7,,0.0,0.0,0.0,,5.28
Roberto Soriano,2622,,,43.2,35.4,,0.27,2.16,1.2,,5.53
Alberto Soro,578,,,28.4,20.0,,0.63,2.34,1.88,,5.63
Borna Sosa,2498,,,64.2,47.2,,0.22,1.19,0.54,,7.34
Hugo Sotelo,2,,,2.0,2.0,,0.0,0.0,0.0,,0.0
Florian Sotoca,2480,,,43.3,32.9,,0.83,1.34,0.72,,6.09
Riccardo Sottil,1239,,,28.0,21.8,,0.72,0.72,0.29,,4.28
Tomá Sou?ek,3062,,,39.2,30.4,,0.32,2.0,1.21,,9.74
Matìas Soulé,5,,,70.0,70.0,,0.0,0.0,0.0,,10.0
Sambou Soumano,447,,,18.6,12.4,,0.8,0.6,0.2,,5.6
Adama Soumaoro,2266,,,41.9,37.6,,0.04,0.67,0.48,,8.37
Boubakary Soumaré,1102,,,45.2,36.8,,0.16,1.97,1.07,,8.85
Arnaud Souquet,2334,,,46.5,33.9,,0.15,2.2,1.2,,8.07
Djibril Sow,2415,,,45.7,38.9,,0.11,2.57,1.27,,11.3
Saidou Sow,989,,,52.2,43.6,,0.18,2.45,1.36,,10.4
Çaðlar Söyüncü,2497,,,65.8,56.7,,0.04,1.88,1.08,,10.8
Leonardo Spinazzola,127,,,52.1,45.0,,0.0,0.0,0.0,,5.71
Marco Sportiello,450,,,26.4,20.2,,0.0,0.0,0.0,,5.6
Tony Springett,141,,,23.8,16.3,,0.63,1.88,0.63,,5.0
Jerry St. Juste,604,,,43.1,33.4,,0.45,2.39,1.79,,11.5
Anton Stach,1861,,,46.6,34.1,,0.58,2.03,1.35,,14.0
Kostas Stafylidis,1388,,,45.1,32.9,,0.32,3.25,1.82,,8.7
Luca Stanga,3,,,2.0,2.0,,0.0,1.0,0.0,,0.0
Josip Stanii?,644,,,82.8,71.9,,0.42,2.78,1.53,,10.8
Niklas Stark,2031,,,44.5,37.3,,0.18,1.86,1.15,,10.5
Jason Steele,90,,,38.0,34.0,,0.0,0.0,0.0,,3.0
Jed Steer,90,,,36.0,27.0,,0.0,0.0,0.0,,6.0
Renato Steffen,967,,,40.2,30.9,,0.19,1.78,0.47,,7.48
Zack Steffen,90,,,38.0,33.0,,0.0,0.0,0.0,,7.0
Calvin Stengs,1073,,,35.5,25.8,,0.5,1.51,0.59,,5.55
Pascal Stenzel,899,,,68.1,55.2,,0.3,2.4,1.7,,9.7
Dale Stephens,124,,,40.7,31.4,,0.0,5.0,1.43,,13.6
Jack Stephens,811,,,49.4,38.7,,0.0,2.33,1.33,,10.8
Raheem Sterling,2128,,,37.1,30.6,,1.06,1.19,0.76,,4.75
Finley Stevens,15,,,40.0,25.0,,0.0,10.0,0.0,,15.0
Angelo Stiller,1693,,,51.2,42.3,,0.21,1.91,1.22,,10.1
Lars Stindl,1629,,,45.1,37.1,,0.77,1.27,0.77,,7.35
Riccardo Stivanello,45,,,20.0,18.0,,0.0,4.0,4.0,,6.0
Kevin Stöger,419,,,70.0,50.9,,1.28,2.77,1.49,,13.2
Petar Stojanovi?,2735,,,56.2,44.1,,0.1,3.39,2.34,,8.39
John Stones,1119,,,78.7,73.0,,0.4,0.4,0.32,,6.94
Thomas Strakosha,2070,,,31.8,26.2,,0.0,0.0,0.0,,3.87
Stefan Strandberg,933,,,49.1,41.5,,0.19,1.25,0.77,,9.13
Dávid Strelec,502,,,24.6,18.6,,0.71,1.07,0.71,,7.86
Tobias Strobl,323,,,26.1,18.9,,0.28,1.39,0.56,,10.6
Kevin Strootman,640,,,50.4,41.3,,0.0,1.55,1.13,,9.58
Pascal Struijk,2055,,,53.2,46.4,,0.13,2.98,1.54,,10.1
Jens Stryger Larsen,684,,,38.3,28.8,,0.53,0.66,0.53,,4.87
Leo tulac,833,,,52.6,41.3,,0.32,1.94,1.29,,7.1
Stefano Sturaro,1766,,,30.3,19.3,,0.0,2.7,1.89,,10.4
Damián Suárez,2711,,,48.7,33.6,,0.13,2.56,1.66,,8.01
Denis Suárez,2819,,,65.2,52.1,,0.26,2.08,1.21,,9.01
Luis Suárez,1835,,,24.4,17.8,,1.13,0.39,0.2,,3.14
Mario Suárez,712,,,39.5,31.9,,0.38,1.01,0.51,,9.75
Isaac Success,911,,,28.3,17.9,,1.29,0.3,0.3,,4.85
Niklas Süle,1837,,,85.0,77.1,,0.29,1.76,1.08,,12.2
Kamaldeen Sulemana,1015,,,31.8,25.4,,0.71,2.39,1.59,,5.58
Crysencio Summerville,130,,,49.3,35.7,,0.0,4.29,2.86,,11.4
Vladyslav Supriaha,22,,,20.0,15.0,,0.0,0.0,0.0,,0.0
Suso,384,,,43.3,33.0,,0.47,1.16,0.47,,3.72
Bosko Sutalo,920,,,47.7,37.5,,0.1,2.35,0.88,,11.9
Mattias Svanberg,2564,,,37.3,27.6,,0.46,1.58,0.88,,7.19
Michael Svoboda,1236,,,44.7,37.7,,0.0,2.41,1.61,,9.2
Abdoulaye Sylla,157,,,44.7,30.6,,0.0,2.35,1.76,,4.12
Mamadou Sylla,394,,,15.7,8.86,,0.0,0.91,0.68,,2.73
Mamadou Sylla,253,,,24.3,17.5,,0.36,1.07,0.71,,6.43
Ádám Szalai,260,,,27.2,17.2,,1.03,1.38,1.03,,5.17
Wojciech Szcz?sny,2970,,,30.8,25.1,,0.0,0.0,0.0,,3.91
Dominik Szoboszlai,1543,,,57.6,44.4,,0.82,1.4,0.88,,8.01
Jakob Sørensen,604,,,44.8,36.9,,0.15,3.73,2.39,,8.36
Alexander Sørloth,1763,,,23.7,17.2,,0.61,1.28,0.77,,3.72
Tachi,239,,,31.5,20.4,,0.0,1.85,1.11,,9.63
Jonathan Tah,2878,,,58.9,52.9,,0.09,1.03,0.56,,9.94
Waniss Taibi,132,,,47.3,38.7,,0.0,4.67,3.33,,8.67
Flavien Tait,2125,,,53.6,46.7,,0.51,1.4,0.97,,7.75
Adrien Tameze,2574,,,45.4,36.3,,0.24,1.71,1.12,,11.6
Japhet Tanganga,735,,,48.3,39.9,,0.24,2.56,1.46,,5.61
Renato Tapia,1412,,,55.0,44.1,,0.19,3.57,2.68,,12.5
Edmond Tapsoba,1814,,,70.5,62.4,,0.05,1.68,1.04,,9.8
Florian Tardieu,2632,,,69.9,57.7,,0.17,1.99,1.3,,10.2
Matt Targett,1431,,,50.6,37.7,,0.13,1.95,0.94,,8.11
Matt Targett,1440,,,48.6,35.5,,0.19,2.5,1.44,,8.5
Oussama Targhalline,5,,,70.0,70.0,,0.0,0.0,0.0,,0.0
James Tarkowski,3106,,,32.5,23.2,,0.17,2.06,1.22,,10.9
Ciprian T?t?ru?anu,540,,,34.3,27.0,,0.0,0.0,0.0,,3.17
Niklas Tauer,487,,,36.7,27.6,,0.37,3.7,2.22,,13.5
Nuno Tavares,1176,,,54.5,44.6,,0.15,1.53,0.92,,7.71
Charlie Taylor,2731,,,45.0,32.2,,0.0,1.78,0.79,,9.08
Loum Tchaouna,87,,,40.0,26.0,,1.0,3.0,0.0,,10.0
Warren Tchimbembé,205,,,41.7,36.5,,0.0,0.87,0.43,,7.39
Aurélien Tchouaméni,2929,,,63.9,55.3,,0.31,2.98,2.06,,11.8
Mathys Tel,56,,,46.7,28.3,,1.67,5.0,3.33,,10.0
Jordan Tell,290,,,26.6,21.9,,0.94,1.88,0.94,,5.31
Nathan Tella,804,,,20.3,12.6,,0.56,1.35,0.56,,8.76
Alex Telles,1660,,,64.0,48.2,,0.16,2.61,1.47,,7.12
Cristian Tello,819,,,39.9,30.8,,0.99,1.65,0.88,,7.69
Nahuel Tenaglia,1073,,,39.9,26.1,,0.08,3.28,1.93,,9.92
Marc Tenas,54,,,40.0,26.7,,0.0,3.33,1.67,,5.0
Marc-André ter Stegen,3150,,,36.6,31.8,,0.0,0.0,0.0,,3.69
Filippo Terracciano,7,,,50.0,30.0,,0.0,0.0,0.0,,10.0
Pietro Terracciano,2862,,,47.9,38.3,,0.0,0.0,0.0,,4.84
Martin Terrier,2779,,,31.7,25.4,,1.39,1.68,1.13,,4.72
Aleksa Terzi?,274,,,80.7,67.0,,0.0,3.0,1.33,,9.33
Robert Tesche,349,,,43.6,37.2,,0.0,1.79,0.77,,6.67
Tanner Tessmann,680,,,29.2,21.8,,0.39,1.18,0.66,,8.29
Tetê,583,,,36.5,28.9,,1.08,1.54,1.08,,5.38
Cedric Teuchert,105,,,25.0,16.7,,0.83,3.33,0.83,,9.17
Arthur Theate,2424,,,54.9,46.0,,0.22,1.52,0.93,,8.51
Jan Thielmann,1192,,,30.9,18.6,,0.45,2.65,1.36,,8.41
Sada Thioub,950,,,49.7,38.6,,0.0,1.42,0.94,,7.26
Sada Thioub,3,,,4.0,2.0,,0.0,0.0,0.0,,0.0
Luke Thomas,1912,,,59.2,47.5,,0.0,2.26,1.37,,9.06
Romain Thomas,2563,,,59.1,52.0,,0.14,2.11,1.33,,8.21
Adrien Thomasson,2389,,,49.7,38.4,,0.72,2.75,1.58,,9.74
Erik Thommy,274,,,40.0,29.3,,1.33,1.0,0.67,,7.33
Dominic Thompson,146,,,25.6,13.1,,0.0,1.88,0.63,,7.5
Morten Thorsby,2943,,,30.6,22.5,,0.21,1.53,0.89,,7.95
Thuler,855,,,34.9,29.4,,0.0,2.42,1.68,,6.74
Marcus Thuram,979,,,21.8,16.1,,0.92,1.65,1.1,,3.39
Khéphren Thuram-Ulie,1901,,,54.1,46.9,,0.28,2.04,1.23,,8.67
Alexis Tibidi,385,,,27.2,20.9,,0.23,1.86,0.7,,4.65
Cheikh Tidiane Sabaly,150,,,21.2,19.4,,0.59,1.76,1.18,,7.65
Youri Tielemans,2631,,,59.8,49.2,,0.51,2.29,1.68,,8.94
Kieran Tierney,1915,,,54.6,42.4,,0.23,0.99,0.56,,8.03
Steffen Tigges,112,,,35.8,20.0,,2.5,4.17,1.67,,10.8
Malik Tillman,104,,,33.3,25.8,,0.83,1.67,0.83,,9.17
Timothy Tillman,2004,,,32.1,22.7,,0.36,2.33,1.12,,7.04
David Timor,341,,,46.3,36.8,,0.0,0.26,0.0,,10.5
Jean-Clair Todibo,3115,,,69.2,60.8,,0.17,2.23,1.36,,9.42
Umut Tohumcu,5,,,0.0,0.0,,0.0,0.0,0.0,,0.0
Karl Toko Ekambi,2296,,,37.1,29.5,,1.41,0.55,0.24,,5.96
Corentin Tolisso,703,,,72.2,62.7,,0.38,1.92,1.28,,11.2
Jeremy Toljan,1399,,,55.2,48.7,,0.06,1.16,0.58,,6.97
Rafael Tolói,1438,,,58.8,49.1,,0.13,2.13,1.13,,11.2
Raúl de Tomás,2914,,,22.9,18.9,,1.23,0.52,0.19,,3.09
Tiago Tomás,1075,,,18.2,11.7,,1.26,0.5,0.34,,5.21
Takehiro Tomiyasu,10,,,30.0,30.0,,0.0,0.0,0.0,,10.0
Takehiro Tomiyasu,1679,,,58.0,47.2,,0.11,2.03,0.91,,10.5
James Tomkins,547,,,51.5,45.2,,0.33,1.97,0.98,,7.54
Fikayo Tomori,2718,,,56.2,49.8,,0.07,2.42,1.49,,8.01
Sandro Tonali,2600,,,51.2,41.8,,0.38,1.73,1.28,,9.1
Lorenzo Tonelli,870,,,56.7,47.9,,0.31,1.75,0.72,,10.3
Ivan Toney,2909,,,24.1,14.2,,0.74,0.96,0.62,,4.49
Ernesto Torregrossa,116,,,35.4,23.8,,0.0,1.54,1.54,,4.62
Lucas Torreira,2195,,,56.2,49.3,,0.53,2.17,1.39,,9.59
Raúl Torrente,1282,,,42.5,31.3,,0.0,2.68,1.48,,9.93
Ferrán Torres,303,,,21.2,16.2,,1.18,0.29,0.29,,3.53
Ferrán Torres,1412,,,37.4,31.5,,1.15,0.57,0.32,,4.01
Óliver Torres,1008,,,57.7,46.5,,0.45,1.79,0.98,,8.21
Pau Torres,2855,,,62.8,54.1,,0.28,0.88,0.44,,8.83
Roberto Torres,809,,,48.6,30.2,,0.33,0.67,0.33,,8.89
Lucas Torró,2725,,,41.5,32.5,,0.3,2.77,1.72,,14.4
Jordan Torunarigha,483,,,43.7,35.9,,0.0,0.74,0.37,,9.26
Cenk Tosun,7,,,20.0,20.0,,0.0,0.0,0.0,,10.0
Abdoulaye Touré,430,,,36.0,28.5,,0.0,1.67,1.04,,9.17
Almamy Touré,506,,,40.5,29.6,,0.36,2.68,1.79,,9.11
Lucas Tousart,1962,,,33.7,24.9,,0.32,2.29,1.47,,10.1
Yoann Touzghar,1457,,,18.9,14.9,,0.74,0.31,0.31,,3.83
Andros Townsend,1455,,,30.1,21.1,,0.56,1.79,0.93,,7.41
Adama Traoré,382,,,41.0,29.3,,0.71,0.71,0.0,,6.67
Adama Traoré,1067,,,27.6,20.6,,0.5,1.01,0.76,,5.38
Amadou Traore,19,,,20.0,10.0,,0.0,0.0,0.0,,10.0
Bertrand Traoré,220,,,34.6,25.8,,0.42,0.83,0.0,,7.5
Boubacar Traoré,1726,,,38.8,32.4,,0.26,2.86,2.08,,9.74
Charles Traore,718,,,52.4,42.1,,0.13,3.38,2.0,,9.13
Hamari Traoré,2890,,,67.8,57.0,,0.28,1.93,1.0,,8.5
Ismaël Traoré,3215,,,48.3,43.6,,0.25,0.87,0.64,,7.76
Kevin Trapp,2880,,,38.9,25.4,,0.0,0.0,0.0,,5.16
Miguel Trauco,1112,,,57.4,42.3,,0.24,2.34,1.37,,7.1
Óscar Trejo,2007,,,46.3,35.6,,0.31,1.93,1.39,,8.03
Trézéguet,11,,,60.0,60.0,,0.0,0.0,0.0,,0.0
Manu Trigueros,2178,,,50.8,40.8,,0.66,1.78,1.07,,6.69
Simone Trimboli,65,,,72.9,64.3,,0.0,4.29,4.29,,8.57
Christopher Trimmel,1990,,,51.8,35.2,,0.23,2.31,1.09,,9.77
Francisco Trincão,1336,,,30.9,23.9,,0.88,1.96,1.01,,6.42
Kieran Trippier,429,,,57.5,39.6,,0.42,4.38,2.71,,9.58
Kieran Trippier,976,,,71.6,56.7,,0.0,2.41,1.2,,9.35
William Troost-Ekong,1390,,,36.2,28.6,,0.0,1.1,0.65,,7.47
Leandro Trossard,2805,,,37.9,29.3,,0.83,1.19,0.77,,6.28
Adrien Truffert,1639,,,64.1,52.6,,0.27,1.76,0.93,,8.68
Philipp Tschauner,3,,,5.0,3.0,,0.0,0.0,0.0,,0.0
Kostas Tsimikas,877,,,72.0,52.8,,0.21,2.06,1.03,,9.59
Axel Tuanzebe,508,,,40.5,35.2,,0.18,1.43,1.07,,7.68
Axel Tuanzebe,11,,,40.0,40.0,,0.0,0.0,0.0,,10.0
Ozan Tufan,334,,,33.0,23.0,,0.0,1.08,0.54,,9.46
Beñat Turrientes,207,,,40.9,35.2,,0.87,0.87,0.43,,7.83
Tuta,2183,,,55.6,44.8,,0.25,2.43,1.36,,12.4
Christos Tzolis,336,,,27.6,20.3,,0.54,1.62,0.54,,6.76
Iyenoma Udogie,2477,,,33.1,26.6,,0.47,2.73,1.82,,7.89
Matthieu Udol,1007,,,43.9,33.9,,0.18,2.95,2.05,,6.43
Ike Ugbo,814,,,14.9,12.1,,0.67,0.22,0.11,,4.56
Chimuanya Ugochukwu,405,,,50.0,44.0,,0.22,2.67,0.89,,7.11
Hwang Ui-jo,2508,,,14.9,11.6,,0.79,0.25,0.14,,2.33
Anthony Ujah,35,,,22.5,12.5,,2.5,0.0,0.0,,5.0
Maximilian Ullmann,246,,,24.1,16.7,,0.0,0.0,0.0,,5.56
Sven Ulreich,540,,,39.3,33.3,,0.0,0.0,0.0,,4.5
Samuel Umtiti,90,,,50.0,42.0,,0.0,2.0,2.0,,10.0
Enes Ünal,2798,,,21.2,13.5,,0.77,1.09,0.58,,3.34
Cengiz Ünder,2200,,,39.2,29.2,,0.82,0.94,0.49,,4.26
Dayot Upamecano,2211,,,92.0,83.3,,0.04,2.36,1.34,,13.5
Benjamin Uphoff,180,,,45.0,31.5,,0.0,0.0,0.0,,5.5
Kacper Urbanski,45,,,52.0,40.0,,0.0,4.0,4.0,,24.0
Jere Uronen,878,,,46.0,37.3,,0.1,3.06,2.24,,6.84
Mark Uth,2025,,,33.2,22.7,,0.84,1.78,0.93,,6.18
Myrto Uzuni,856,,,22.5,15.5,,0.21,1.37,0.95,,7.79
Antonio Vacca,1064,,,58.5,50.6,,0.0,2.88,1.86,,10.5
Álvaro Vadillo,7,,,110.0,70.0,,0.0,10.0,0.0,,0.0
Óscar Valentín,2569,,,45.9,38.7,,0.04,4.18,2.32,,11.9
Germán Valera,51,,,28.3,23.3,,0.0,5.0,1.67,,11.7
Yan Valery,370,,,37.8,26.3,,0.0,2.44,1.71,,10.2
Martin Valjent,3181,,,38.0,31.4,,0.03,0.96,0.51,,8.24
Jesús Vallejo,341,,,55.8,48.2,,0.0,2.11,1.84,,7.37
Manu Vallejo,370,,,27.6,20.2,,0.49,1.95,0.98,,3.66
Manu Vallejo,98,,,40.0,28.2,,0.91,2.73,1.82,,6.36
Federico Valverde,1833,,,58.3,51.1,,0.44,1.62,1.03,,7.6
Vanderson,1120,,,47.3,34.1,,0.48,2.34,1.53,,9.44
Zinho Vanheusden,989,,,37.7,30.2,,0.18,1.73,1.09,,8.09
Jonathan Varane,1,,,3.0,3.0,,0.0,0.0,0.0,,2.0
Raphaël Varane,1831,,,54.0,48.6,,0.05,1.33,0.79,,9.06
Jamie Vardy,1806,,,13.2,9.55,,1.24,0.35,0.2,,2.14
Ruben Vargas,1984,,,26.5,18.6,,0.27,1.36,0.68,,6.59
Sebastian Vasiliadis,1193,,,26.0,17.6,,0.15,3.38,1.88,,11.2
Johan Vásquez,2279,,,46.0,33.1,,0.12,3.16,1.9,,10.5
Denis Vavro,8,,,60.0,60.0,,0.0,0.0,0.0,,10.0
José Luis García Vayá,2012,,,55.7,44.7,,0.09,2.5,1.61,,9.73
Jesus Vazquez,813,,,38.3,28.2,,0.11,3.0,2.33,,9.0
Kevin Vázquez,1334,,,59.1,46.6,,0.07,2.77,1.62,,8.99
Lucas Vázquez,1833,,,76.0,65.6,,0.25,2.35,1.52,,7.4
Matías Vecino,377,,,50.0,38.8,,0.48,1.9,0.71,,11.0
Gabriel Veiga,108,,,56.7,45.8,,0.0,3.33,2.5,,18.3
Miguel Veloso,1343,,,61.7,49.0,,0.27,1.68,0.87,,13.4
Joël Veltman,2874,,,57.8,45.1,,0.06,2.82,1.25,,9.97
Mickey van de Ven,189,,,39.5,31.0,,0.0,2.86,1.43,,7.62
Unai Vencedor Paris,2383,,,49.5,38.5,,0.04,1.17,0.75,,10.5
Lorenzo Venuti,1571,,,59.9,51.8,,0.06,1.2,0.63,,6.46
Daniele Verde,1957,,,38.2,26.6,,1.06,0.69,0.23,,4.88
Simone Verdi,829,,,36.4,25.0,,1.52,1.09,0.87,,6.74
Simone Verdi,46,,,34.0,18.0,,2.0,4.0,4.0,,12.0
Gonzalo Verdú,1397,,,45.2,38.1,,0.0,1.48,1.1,,6.26
Jordan Veretout,2319,,,55.5,46.9,,0.31,1.74,1.32,,7.87
Edoardo Vergani,102,,,21.8,12.7,,0.0,2.73,0.91,,5.45
Vincent Vermeij,3,,,3.0,2.0,,0.0,0.0,0.0,,0.0
Marco Verratti,1937,,,99.6,91.4,,0.05,2.93,2.23,,7.53
Valerio Verre,310,,,48.8,35.9,,1.18,2.35,1.76,,8.24
Valerio Verre,420,,,47.9,31.3,,0.21,1.91,1.49,,8.94
Freddie Veseli,596,,,30.8,25.9,,0.0,1.06,0.45,,3.94
Mikel Vesga,1358,,,47.4,37.2,,0.26,1.59,0.86,,11.7
Jannik Vestergaard,567,,,56.7,52.1,,0.0,2.54,1.75,,7.46
Rúben Vezo,2420,,,47.0,39.2,,0.15,2.12,1.23,,9.0
Guglielmo Vicario,3420,,,34.8,27.2,,0.0,0.0,0.0,,4.42
Aleix Vidal,1901,,,51.4,41.6,,0.14,1.61,1.28,,8.77
Arturo Vidal,741,,,71.1,62.6,,1.1,4.27,2.44,,10.1
Nacho Vidal,2902,,,47.5,34.2,,0.06,2.36,1.34,,9.44
Gabriel Vidovic,36,,,57.5,45.0,,0.0,0.0,0.0,,20.0
Ronaldo Vieira,495,,,52.2,45.3,,0.0,1.82,1.64,,9.09
Nick Viergever,2133,,,45.2,36.9,,0.04,2.03,1.22,,8.95
Luca Vignali,85,,,56.7,46.7,,0.0,1.11,1.11,,6.67
Emanuel Vignato,594,,,60.9,50.9,,0.15,2.42,1.67,,9.09
Dídac Vilà,203,,,38.7,30.9,,0.0,2.17,0.87,,6.96
Tonny Vilhena,928,,,33.1,23.8,,0.29,1.55,0.68,,5.15
Daniel Villahermosa,23,,,26.7,20.0,,0.0,0.0,0.0,,0.0
Asier Villalibre,548,,,20.5,12.6,,0.98,0.66,0.49,,1.8
Gonzalo Villar,298,,,41.2,36.1,,0.61,2.12,1.52,,10.6
Matías Viña,1565,,,48.3,38.3,,0.17,2.82,1.26,,7.82
Nicolas Viola,102,,,56.4,39.1,,0.0,3.64,2.73,,15.5
Mattia Viti,1491,,,41.2,34.5,,0.0,2.17,1.45,,8.07
Vitolo,221,,,47.6,38.4,,0.0,2.0,0.4,,3.2
Daniel Vivian,1986,,,42.7,36.2,,0.36,1.54,1.09,,11.5
Duan Vlahovi?,1076,,,19.4,13.3,,1.67,0.25,0.17,,3.58
Duan Vlahovi?,1857,,,19.4,13.5,,1.31,0.19,0.15,,3.01
Nikola Vlai?,560,,,35.5,27.4,,0.48,2.1,1.77,,7.1
Andreas Voglsammer,882,,,25.1,15.5,,1.53,1.63,0.82,,4.8
Kevin Vogt,2569,,,75.6,66.9,,0.0,0.98,0.6,,12.0
Mërgim Vojvoda,1976,,,53.0,41.5,,0.32,1.86,0.73,,8.09
Kevin Volland,2436,,,23.8,15.9,,0.85,1.03,0.77,,4.06
Cristian Volpato,38,,,67.5,50.0,,2.5,0.0,0.0,,15.0
Aster Vranckx,1141,,,34.7,27.4,,0.63,2.99,2.13,,8.98
Stefan de Vrij,2410,,,57.0,53.1,,0.11,1.57,1.12,,9.59
ime Vrsaljko,914,,,58.9,43.0,,0.1,3.14,1.86,,9.12
Nikola Vuk?evi?,118,,,55.4,46.9,,0.0,3.08,1.54,,21.5
Mat?j Vydra,679,,,14.9,10.1,,0.93,1.6,1.07,,3.2
Walace,2970,,,50.0,41.3,,0.33,2.79,2.0,,11.1
Theo Walcott,379,,,20.5,14.5,,0.0,1.19,0.71,,5.0
Luca Waldschmidt,717,,,30.6,23.9,,0.38,1.13,0.38,,5.75
Kyle Walker,1755,,,84.5,75.1,,0.1,1.18,0.82,,7.95
Kyle Walker-Peters,2633,,,46.4,36.6,,0.24,2.15,0.92,,8.6
Sebastian Walukiewicz,302,,,52.6,47.4,,0.0,2.35,1.47,,5.88
Aaron Wan-Bissaka,1793,,,55.9,46.7,,0.05,2.31,1.26,,8.24
Paul Wanner,39,,,42.5,35.0,,0.0,5.0,5.0,,0.0
Danny Ward,90,,,34.0,30.0,,0.0,0.0,0.0,,2.0
Joel Ward,2487,,,62.0,49.6,,0.04,1.74,1.01,,8.77
James Ward-Prowse,3215,,,59.7,46.8,,0.56,1.32,0.73,,11.6
Magnus Warming,58,,,35.0,18.3,,0.0,5.0,1.67,,13.3
Daniel Wass,45,,,54.0,44.0,,0.0,2.0,0.0,,10.0
Daniel Wass,1582,,,38.8,30.6,,0.45,1.65,1.25,,9.83
Ollie Watkins,2952,,,21.0,15.0,,0.95,0.52,0.43,,3.17
Timothy Weah,1616,,,30.9,22.8,,0.44,1.0,0.89,,5.11
Adam Webster,1434,,,71.4,58.7,,0.13,1.45,0.82,,11.6
Wout Weghorst,1450,,,26.8,17.9,,0.43,1.06,0.75,,6.02
Wout Weghorst,1553,,,26.2,18.6,,1.1,0.75,0.4,,4.74
Noah Weißhaupt,97,,,38.2,31.8,,0.0,1.82,0.0,,9.09
Danny Welbeck,1478,,,17.3,13.8,,1.22,0.85,0.73,,3.11
Timo Werner,1283,,,27.9,21.1,,1.12,0.49,0.28,,5.03
Ashley Westwood,2287,,,48.3,33.8,,0.04,1.18,0.91,,10.6
Ben White,2880,,,56.0,48.1,,0.09,1.31,0.72,,9.44
Silvan Widmer,2920,,,46.2,33.2,,0.25,2.28,1.33,,7.9
Georginio Wijnaldum,1653,,,41.0,37.1,,0.11,1.03,0.65,,5.98
Jetro Willems,1598,,,49.4,35.9,,0.17,1.85,1.12,,8.82
Brandon Williams,2120,,,47.2,38.2,,0.04,2.37,1.23,,7.29
Iñaki Williams,2777,,,22.2,14.4,,1.1,0.55,0.36,,3.53
Neco Williams,8,,,80.0,80.0,,0.0,0.0,0.0,,0.0
Nico Williams,1337,,,31.2,22.2,,0.67,1.54,1.01,,6.31
Joe Willock,2038,,,24.0,19.4,,0.44,3.05,1.95,,6.5
Callum Wilson,1386,,,11.4,7.99,,0.78,0.52,0.39,,2.6
Patrick Wimmer,2052,,,33.0,18.6,,0.66,2.5,1.75,,10.1
Jonas Wind,1180,,,27.9,19.0,,1.22,1.15,0.53,,5.42
Marten Winkler,26,,,26.7,16.7,,0.0,0.0,0.0,,3.33
Harry Winks,912,,,65.5,56.7,,0.1,1.68,0.69,,7.43
Frederik Winther,328,,,45.8,35.0,,0.0,2.22,1.11,,10.6
Florian Wirtz,1851,,,44.2,33.1,,0.63,1.36,0.87,,6.7
Yoane Wissa,1284,,,19.6,13.4,,0.91,0.98,0.56,,4.69
Axel Witsel,1941,,,60.1,56.1,,0.09,2.36,1.48,,9.31
Hannes Wolf,307,,,30.9,21.8,,0.59,5.88,2.94,,8.82
Marius Wolf,1321,,,50.1,39.0,,0.68,1.5,0.82,,6.46
Luca Wollschläger,16,,,30.0,25.0,,0.0,5.0,5.0,,0.0
Jeong Woo-yeong,1782,,,32.6,23.8,,0.96,0.76,0.45,,5.2
Chris Wood,1327,,,21.8,12.2,,0.41,0.27,0.2,,3.47
Chris Wood,1367,,,20.3,12.0,,0.66,0.72,0.53,,2.7
Freddie Woodman,360,,,30.8,18.5,,0.0,0.0,0.0,,3.75
Christopher Wooh,1050,,,51.5,45.7,,0.17,3.25,2.05,,7.44
Joscha Wosz,9,,,40.0,30.0,,0.0,0.0,0.0,,0.0
Xeka,1619,,,48.7,38.6,,0.28,2.94,1.89,,9.89
Granit Xhaka,2327,,,59.8,52.0,,0.19,1.51,0.93,,9.58
Sekou Yansané,16,,,10.0,10.0,,0.0,0.0,0.0,,5.0
